series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	age_code	age_desc	sex_code	sex_desc	causeOfDeath_code	causeOfDeath_desc	years	min_year	max_year	n_years
VC_DTH_TOCVN	Number of conflict-related deaths (civilians), by sex, age and cause of death (Number)	1	World	1			Region								Y_GE18	18 years old and over	_T	Both sexes	_T	No breakdown	[2017]	2017	2017	1
VC_DTH_TOCVN	Number of conflict-related deaths (civilians), by sex, age and cause of death (Number)	1	World	1			Region								_T	All age ranges or no breaks by age	_U	Unknown	_T	No breakdown	[2017]	2017	2017	1
VC_DTH_TOCVN	Number of conflict-related deaths (civilians), by sex, age and cause of death (Number)	1	World	1			Region								Y0T17	under 18 years old	_T	Both sexes	_T	No breakdown	[2017]	2017	2017	1
VC_DTH_TOCVN	Number of conflict-related deaths (civilians), by sex, age and cause of death (Number)	1	World	1			Region								_T	All age ranges or no breaks by age	_T	Both sexes	COD_OTHER	Incendiary; Chemical, biological, radiological, nuclear (CBRN); Electromagnetic weapons; Less lethal weapons; Denial of access to/ destruction of objects indispensable to survival; Accidents related to conflict; Use of objects and other means; Multiple Weapons Used.	[2017]	2017	2017	1
VC_DTH_TOCVN	Number of conflict-related deaths (civilians), by sex, age and cause of death (Number)	1	World	1			Region								_U	Unknown	_T	Both sexes	_T	No breakdown	[2017]	2017	2017	1
VC_DTH_TOCVN	Number of conflict-related deaths (civilians), by sex, age and cause of death (Number)	1	World	1			Region								_T	All age ranges or no breaks by age	_T	Both sexes	COD_HEAVYWEAPONS	Heavy weapons and explosive munitions 	[2017]	2017	2017	1
VC_DTH_TOCVN	Number of conflict-related deaths (civilians), by sex, age and cause of death (Number)	1	World	1			Region								_T	All age ranges or no breaks by age	F	Female	_T	No breakdown	[2017]	2017	2017	1
VC_DTH_TOCVN	Number of conflict-related deaths (civilians), by sex, age and cause of death (Number)	1	World	1			Region								_T	All age ranges or no breaks by age	_T	Both sexes	COD_EXPLOSIVES	Planted explosives and unexploded ordnance (UXO)	[2017]	2017	2017	1
VC_DTH_TOCVN	Number of conflict-related deaths (civilians), by sex, age and cause of death (Number)	1	World	1			Region								_T	All age ranges or no breaks by age	_T	Both sexes	COD_U	Unknown	[2017]	2017	2017	1
VC_DTH_TOCVN	Number of conflict-related deaths (civilians), by sex, age and cause of death (Number)	1	World	1			Region								_T	All age ranges or no breaks by age	M	Male	_T	No breakdown	[2017]	2017	2017	1
VC_DTH_TOCVN	Number of conflict-related deaths (civilians), by sex, age and cause of death (Number)	1	World	1			Region								_T	All age ranges or no breaks by age	_T	Both sexes	COD_SMALLARMS	Small arms and light weapons 	[2017]	2017	2017	1
VC_DTH_TOCVN	Number of conflict-related deaths (civilians), by sex, age and cause of death (Number)	1	World	1			Region								_T	All age ranges or no breaks by age	_T	Both sexes	_T	No breakdown	[2017]	2017	2017	1
