series	seriesDescription	geoAreaCode	geoAreaName	value	time_detail	timeCoverage	upperBound	lowerBound	basePeriod	source	geoInfoUrl	footnotes	nature_code	nature_desc	units_code	units_desc	reportingType_code	reportingType_desc	samplingStations_code	samplingStations_desc	timePeriod	value_detail	lowerBound_detail	upperBound_detail	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	124	Canada	8.00922			8.59	7.67		Intergovernmental Oceanographic Commission (IOC) of UNESCO		Mooring Name: QU39 | LATITUDE: 50.03028709 | LONGITUDE: -125.0985391	C	Country data	PH	pH	G	Global	C02	QU39	2016				4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	124	Canada	8.03428			8.3522	7.6653		Intergovernmental Oceanographic Commission (IOC) of UNESCO		Mooring Name: KC10 | LATITUDE: 51.65025086 | LONGITUDE: -127.9518806	C	Country data	PH	pH	G	Global	C01	KC10	2016				4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	124	Canada	8.07271			8.5594	7.5953		Intergovernmental Oceanographic Commission (IOC) of UNESCO		Mooring Name: KC10 | LATITUDE: 51.65223739 | LONGITUDE: -127.9531854	C	Country data	PH	pH	G	Global	C01	KC10	2017				4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	124	Canada	7.99471			8.33	7.73		Intergovernmental Oceanographic Commission (IOC) of UNESCO		Mooring Name: QU39 | LATITUDE: 50.03057833 | LONGITUDE: -125.0991235	C	Country data	PH	pH	G	Global	C02	QU39	2017				4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	124	Canada	7.93789			8.46	7.7		Intergovernmental Oceanographic Commission (IOC) of UNESCO		Mooring Name: QU39 | LATITUDE: 50.03006073 | LONGITUDE: -125.0990938	C	Country data	PH	pH	G	Global	C02	QU39	2018				4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	124	Canada	8.04389			8.4414	7.5588		Intergovernmental Oceanographic Commission (IOC) of UNESCO		Mooring Name: KC10 | LATITUDE: 51.64986667 | LONGITUDE: -127.9492667	C	Country data	PH	pH	G	Global	C01	KC10	2018				4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	124	Canada	8.06445			8.3559	7.831		Intergovernmental Oceanographic Commission (IOC) of UNESCO		Mooring Name: KC10 | LATITUDE: 51.65047946 | LONGITUDE: -127.9512468	C	Country data	PH	pH	G	Global	C01	KC10	2019				4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	124	Canada	7.9131			8.23	7.61		Intergovernmental Oceanographic Commission (IOC) of UNESCO		Mooring Name: QU39 | LATITUDE: 50.03097037 | LONGITUDE: -125.1001985	C	Country data	PH	pH	G	Global	C02	QU39	2019				4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	250	France	8.11953			8.193	8.087		Intergovernmental Oceanographic Commission (IOC) of UNESCO		Mooring Name: OVIDE-2010 | LATITUDE: 59.818 | LONGITUDE: -42.313	C	Country data	PH	pH	G	Global	C09	OVIDE-2010	2010				4	155	Western Europe	Country	2.457288129	46.62660861	FRA	1	1
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	250	France	8.07836			8.162	8.019		Intergovernmental Oceanographic Commission (IOC) of UNESCO		Mooring Name: OISO-18 | LATITUDE: -29.46254 | LONGITUDE: 62.89292	C	Country data	PH	pH	G	Global	C01	OISO-18	2010				4	155	Western Europe	Country	2.457288129	46.62660861	FRA	1	1
