series	seriesDescription	geoAreaCode	geoAreaName	value	time_detail	timeCoverage	upperBound	lowerBound	basePeriod	source	geoInfoUrl	footnotes	nature_code	nature_desc	units_code	units_desc	reportingType_code	reportingType_desc	timePeriod	value_detail	lowerBound_detail	upperBound_detail	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile
SG_PLN_MSTKSDG	Progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals (1 = YES; 0 = NO)	36	Australia	1.0						Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).		Provider	_X	Data nature not available	BOOL	Boolean or binary measure	G	Global	2018				4	53	Australia and New Zealand	Country	134.3499412	-25.57717202	AUS	1	1
SG_PLN_MSTKSDG	Progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals (1 = YES; 0 = NO)	372	Ireland	1.0						Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).		Provider	_X	Data nature not available	BOOL	Boolean or binary measure	G	Global	2018				4	154	Northern Europe	Country	-7.121425272	53.25274054	IRL	1	1
SG_PLN_MSTKSDG	Progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals (1 = YES; 0 = NO)	384	Côte d'Ivoire	1.0						Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).		Recipient	_X	Data nature not available	BOOL	Boolean or binary measure	G	Global	2018				5	11	Western Africa	Country	-5.552690016	7.62211586	CIV	1	1
SG_PLN_MSTKSDG	Progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals (1 = YES; 0 = NO)	392	Japan	1.0						Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).		Provider	_X	Data nature not available	BOOL	Boolean or binary measure	G	Global	2018				4	30	Eastern Asia	Country	139.2716103	36.6554539	JPN	1	1
SG_PLN_MSTKSDG	Progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals (1 = YES; 0 = NO)	40	Austria	1.0						Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).		Provider	_X	Data nature not available	BOOL	Boolean or binary measure	G	Global	2018				4	155	Western Europe	Country	14.14172472	47.58704857	AUT	1	1
SG_PLN_MSTKSDG	Progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals (1 = YES; 0 = NO)	412	Kosovo	1.0						Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).		Recipient	_X	Data nature not available	BOOL	Boolean or binary measure	G	Global	2018				4	151	Eastern Europe	Country					
SG_PLN_MSTKSDG	Progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals (1 = YES; 0 = NO)	414	Kuwait	1.0						Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).		Provider	_X	Data nature not available	BOOL	Boolean or binary measure	G	Global	2018				4	145	Western Asia	Country	47.49305029	29.53949468	KWT	1	1
SG_PLN_MSTKSDG	Progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals (1 = YES; 0 = NO)	430	Liberia	1.0						Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).		Recipient	_X	Data nature not available	BOOL	Boolean or binary measure	G	Global	2018				5	11	Western Africa	Country	-9.311879038	6.448381009	LBR	1	1
SG_PLN_MSTKSDG	Progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals (1 = YES; 0 = NO)	484	Mexico	1.0						Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).		Provider	_X	Data nature not available	BOOL	Boolean or binary measure	G	Global	2018				5	13	Central America	Country	-102.5148166	23.93378032	MEX	1	1
SG_PLN_MSTKSDG	Progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals (1 = YES; 0 = NO)	498	Republic of Moldova	1.0						Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).		Recipient	_X	Data nature not available	BOOL	Boolean or binary measure	G	Global	2018				4	151	Eastern Europe	Country	28.4650624	47.20236795	MDA	1	1
