series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	modeOfTransportation_code	modeOfTransportation_desc	year	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	reportingType_code	reportingType_desc	value_detail	lowerBound_detail	upperBound_detail
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	1	World	1			Region						MOT_AIR	Air transport	2018	230967364316.545					ICAO		C	Country data	T_KM	Tonne kilometres	G	Global			
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	1	World	1			Region						MOT_IWW	Inland waterway transport	2018	4303975146148.59					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	T_KM	Tonne kilometres	G	Global			
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	1	World	1			Region						MOT_RAI	Rail transport	2018	17275052081105.5					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	T_KM	Tonne kilometres	G	Global			
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	1	World	1			Region						MOT_ROA	Road transport	2018	36985778829990.8					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	T_KM	Tonne kilometres	G	Global			
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	MOT_AIR	Air transport	2018	1375210.0					ICAO		C	Country data	T_KM	Tonne kilometres	G	Global			
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	MOT_ROA	Road transport	2018	27481000000.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	T_KM	Tonne kilometres	G	Global			
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	MOT_IWW	Inland waterway transport	2018	4858000000.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	T_KM	Tonne kilometres	G	Global			
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	MOT_RAI	Rail transport	2018	3824000000.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	T_KM	Tonne kilometres	G	Global			
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	MOT_AIR	Air transport	2018	4742159.83169					ICAO		C	Country data	T_KM	Tonne kilometres	G	Global			
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	MOT_RAI	Rail transport	2018	3991448685.26					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	T_KM	Tonne kilometres	G	Global			
