series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	typeOfProduct_code	typeOfProduct_desc	year	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	reportingType_code	reportingType_desc	value_detail	lowerBound_detail	upperBound_detail
TM_TAX_DPRF	Average tariff applied by developed countries, preferential status, by type of product (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	AGG_AGR	Agricultural products	2018	4.21205					International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).		C	Country data	PT	Percentage	G	Global			
TM_TAX_DPRF	Average tariff applied by developed countries, preferential status, by type of product (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	ALP	All products	2018	4.80438					International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).		C	Country data	PT	Percentage	G	Global			
TM_TAX_DPRF	Average tariff applied by developed countries, preferential status, by type of product (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	AGG_CLTH	Clothing	2018	10.45693					International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).		C	Country data	PT	Percentage	G	Global			
TM_TAX_DPRF	Average tariff applied by developed countries, preferential status, by type of product (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	AGG_IND	Industrial products	2018	2.13904					International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).		C	Country data	PT	Percentage	G	Global			
TM_TAX_DPRF	Average tariff applied by developed countries, preferential status, by type of product (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	AGG_TXT	Textiles	2018	4.50958					International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).		C	Country data	PT	Percentage	G	Global			
TM_TAX_DPRF	Average tariff applied by developed countries, preferential status, by type of product (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	AGG_AGR	Agricultural products	2018	0.0354					International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).		C	Country data	PT	Percentage	G	Global			
TM_TAX_DPRF	Average tariff applied by developed countries, preferential status, by type of product (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	ALP	All products	2018	0.03198					International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).		C	Country data	PT	Percentage	G	Global			
TM_TAX_DPRF	Average tariff applied by developed countries, preferential status, by type of product (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	AGG_CLTH	Clothing	2018	6.23865					International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).		C	Country data	PT	Percentage	G	Global			
TM_TAX_DPRF	Average tariff applied by developed countries, preferential status, by type of product (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	AGG_IND	Industrial products	2018	0.01926					International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).		C	Country data	PT	Percentage	G	Global			
TM_TAX_DPRF	Average tariff applied by developed countries, preferential status, by type of product (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	AGG_TXT	Textiles	2018	3.31373					International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).		C	Country data	PT	Percentage	G	Global			
TM_TAX_DPRF	Average tariff applied by developed countries, preferential status, by type of product (%)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1	AGG_IND	Industrial products	2018	4.28557					International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).		C	Country data	PT	Percentage	G	Global			
TM_TAX_DPRF	Average tariff applied by developed countries, preferential status, by type of product (%)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1	AGG_TXT	Textiles	2018	3.28285					International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).		C	Country data	PT	Percentage	G	Global			
TM_TAX_DPRF	Average tariff applied by developed countries, preferential status, by type of product (%)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1	AGG_CLTH	Clothing	2018	5.98277					International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).		C	Country data	PT	Percentage	G	Global			
