series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	typeOfWasteTreatment_code	typeOfWasteTreatment_desc	year	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	reportingType_code	reportingType_desc	value_detail	lowerBound_detail	upperBound_detail
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	INCINRT	Incineration	2016	5259.0					UNSTATS / Environment Live 		C	Country data	TONNES	Tonnes	G	Global			
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	LANDFIL	Landfilling	2016	38190.0					UNSTATS / Environment Live 		C	Country data	TONNES	Tonnes	G	Global			
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	RECYCL	Recycling	2016	112277.0					UNSTATS / Environment Live 		C	Country data	TONNES	Tonnes	G	Global			
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1	INCINRT	Incineration	2017	49810.0					UNSTATS / Environment Live 	Includes data on disposal and / or use of previously accumulated production waste. It also includes the export of production waste.	C	Country data	TONNES	Tonnes	G	Global			
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1	LANDFIL	Landfilling	2017	110730.0					UNSTATS / Environment Live 	Includes data on disposal and / or use of previously accumulated production waste. It also includes the export of production waste.	C	Country data	TONNES	Tonnes	G	Global			
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1	RECYCL	Recycling	2017	1047870.0					UNSTATS / Environment Live 	Includes data on disposal and / or use of previously accumulated production waste. It also includes the export of production waste.	C	Country data	TONNES	Tonnes	G	Global			
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1	INCINRT	Incineration	2009	1148.199951					UNSTATS / Environment Live 		C	Country data	TONNES	Tonnes	G	Global			
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1	LANDFIL	Landfilling	2009	7133.0					UNSTATS / Environment Live 		C	Country data	TONNES	Tonnes	G	Global			
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1	RECYCL	Recycling	2009	434.399994					UNSTATS / Environment Live 		C	Country data	TONNES	Tonnes	G	Global			
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	191	Croatia	4	39	Southern Europe	Country	17.95874553	45.45172212	HRV	1	1	INCINRT	Incineration	2012	45.0					UNSTATS / Environment Live 		C	Country data	TONNES	Tonnes	G	Global			
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	191	Croatia	4	39	Southern Europe	Country	17.95874553	45.45172212	HRV	1	1	LANDFIL	Landfilling	2016	6251.0					UNSTATS / Environment Live 		C	Country data	TONNES	Tonnes	G	Global			
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	191	Croatia	4	39	Southern Europe	Country	17.95874553	45.45172212	HRV	1	1	RECYCL	Recycling	2016	55565.0					UNSTATS / Environment Live 		C	Country data	TONNES	Tonnes	G	Global			
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	192	Cuba	5	29	Caribbean	Country	-79.54460144	22.10030366	CUB	1	1	INCINRT	Incineration	2017	9269.0					UNSTATS / Environment Live 		C	Country data	TONNES	Tonnes	G	Global			
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	192	Cuba	5	29	Caribbean	Country	-79.54460144	22.10030366	CUB	1	1	LANDFIL	Landfilling	2017	5469.0					UNSTATS / Environment Live 		C	Country data	TONNES	Tonnes	G	Global			
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	192	Cuba	5	29	Caribbean	Country	-79.54460144	22.10030366	CUB	1	1	RECYCL	Recycling	2017	16245.0					UNSTATS / Environment Live 		C	Country data	TONNES	Tonnes	G	Global			
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	196	Cyprus	4	145	Western Asia	Country	33.22285964	35.05659437	CYP	1	1	INCINRT	Incineration	2012	3.0					UNSTATS / Environment Live 		C	Country data	TONNES	Tonnes	G	Global			
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	196	Cyprus	4	145	Western Asia	Country	33.22285964	35.05659437	CYP	1	1	LANDFIL	Landfilling	2016	128870.0					UNSTATS / Environment Live 		C	Country data	TONNES	Tonnes	G	Global			
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	196	Cyprus	4	145	Western Asia	Country	33.22285964	35.05659437	CYP	1	1	RECYCL	Recycling	2016	12397.0					UNSTATS / Environment Live 		C	Country data	TONNES	Tonnes	G	Global			
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	203	Czechia	4	151	Eastern Europe	Country	15.33151382	49.73913871	CZE	1	1	INCINRT	Incineration	2016	77049.0					UNSTATS / Environment Live 		C	Country data	TONNES	Tonnes	G	Global			
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	203	Czechia	4	151	Eastern Europe	Country	15.33151382	49.73913871	CZE	1	1	LANDFIL	Landfilling	2016	33205.0					UNSTATS / Environment Live 		C	Country data	TONNES	Tonnes	G	Global			
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	203	Czechia	4	151	Eastern Europe	Country	15.33151382	49.73913871	CZE	1	1	RECYCL	Recycling	2016	248036.0					UNSTATS / Environment Live 		C	Country data	TONNES	Tonnes	G	Global			
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	204	Benin	5	11	Western Africa	Country	2.339933594	9.65401646	BEN	1	1	INCINRT	Incineration	2002	1698.0					UNSTATS / Environment Live 	Data refer to biomedical waste.	C	Country data	TONNES	Tonnes	G	Global			
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	208	Denmark	4	154	Northern Europe	Country	9.326571283	56.03829721	DNK	1	1	LANDFIL	Landfilling	2016	1132336.0					UNSTATS / Environment Live 		C	Country data	TONNES	Tonnes	G	Global			
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	208	Denmark	4	154	Northern Europe	Country	9.326571283	56.03829721	DNK	1	1	INCINRT	Incineration	2016	4109.0					UNSTATS / Environment Live 		C	Country data	TONNES	Tonnes	G	Global			
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	208	Denmark	4	154	Northern Europe	Country	9.326571283	56.03829721	DNK	1	1	RECYCL	Recycling	2016	514749.0					UNSTATS / Environment Live 		C	Country data	TONNES	Tonnes	G	Global			
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	212	Dominica	5	29	Caribbean	Country	-61.3493756	15.43391378	DMA	1	1	LANDFIL	Landfilling	2002	502.0					UNSTATS / Environment Live 		C	Country data	TONNES	Tonnes	G	Global			
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	233	Estonia	4	154	Northern Europe	Country	25.84093481	58.68487172	EST	1	1	INCINRT	Incineration	2016	59.0					UNSTATS / Environment Live 		C	Country data	TONNES	Tonnes	G	Global			
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	233	Estonia	4	154	Northern Europe	Country	25.84093481	58.68487172	EST	1	1	LANDFIL	Landfilling	2016	9232944.0					UNSTATS / Environment Live 		C	Country data	TONNES	Tonnes	G	Global			
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	233	Estonia	4	154	Northern Europe	Country	25.84093481	58.68487172	EST	1	1	RECYCL	Recycling	2016	214601.0					UNSTATS / Environment Live 		C	Country data	TONNES	Tonnes	G	Global			
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	242	Fiji	4	54	Melanesia	Country	177.9660884	-17.83301566	FJI	1	1	LANDFIL	Landfilling	2017	14332.506836					UNSTATS / Environment Live 		C	Country data	TONNES	Tonnes	G	Global			
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	246	Finland	4	154	Northern Europe	Country	23.308447	61.91586738	FIN	1	1	INCINRT	Incineration	2016	42460.0					UNSTATS / Environment Live 		C	Country data	TONNES	Tonnes	G	Global			
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	246	Finland	4	154	Northern Europe	Country	23.308447	61.91586738	FIN	1	1	LANDFIL	Landfilling	2016	1718032.0					UNSTATS / Environment Live 		C	Country data	TONNES	Tonnes	G	Global			
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	246	Finland	4	154	Northern Europe	Country	23.308447	61.91586738	FIN	1	1	RECYCL	Recycling	2016	112860.0					UNSTATS / Environment Live 		C	Country data	TONNES	Tonnes	G	Global			
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	250	France	4	155	Western Europe	Country	2.457288129	46.62660861	FRA	1	1	INCINRT	Incineration	2016	1514417.0					UNSTATS / Environment Live 		C	Country data	TONNES	Tonnes	G	Global			
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	250	France	4	155	Western Europe	Country	2.457288129	46.62660861	FRA	1	1	LANDFIL	Landfilling	2016	2322485.0					UNSTATS / Environment Live 		C	Country data	TONNES	Tonnes	G	Global			
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	250	France	4	155	Western Europe	Country	2.457288129	46.62660861	FRA	1	1	RECYCL	Recycling	2016	2229863.0					UNSTATS / Environment Live 		C	Country data	TONNES	Tonnes	G	Global			
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	254	French Guiana	5	5	South America	Country	-53.23619089	3.922673437	GUF	0	1	INCINRT	Incineration	2014	494.0					UNSTATS / Environment Live 		C	Country data	TONNES	Tonnes	G	Global			
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	254	French Guiana	5	5	South America	Country	-53.23619089	3.922673437	GUF	0	1	RECYCL	Recycling	2014	1049.0					UNSTATS / Environment Live 		C	Country data	TONNES	Tonnes	G	Global			
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	254	French Guiana	5	5	South America	Country	-53.23619089	3.922673437	GUF	0	1	LANDFIL	Landfilling	2014	139.0					UNSTATS / Environment Live 		C	Country data	TONNES	Tonnes	G	Global			
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	275	State of Palestine	4	145	Western Asia	Country	35.25694122	31.94347933	PSE	0	1	LANDFIL	Landfilling	2014	4572.0					UNSTATS / Environment Live 	Data refer to waste collected from health care centres, the source is the environmental survey of health care centres.	C	Country data	TONNES	Tonnes	G	Global			
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	276	Germany	4	155	Western Europe	Country	10.3806066	51.08862743	DEU	1	1	INCINRT	Incineration	2016	1056183.0					UNSTATS / Environment Live 		C	Country data	TONNES	Tonnes	G	Global			
