series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	observationStatus_code	observationStatus_desc	year	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	reportingType_code	reportingType_desc	value_detail	lowerBound_detail	upperBound_detail
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	15	Northern Africa	3	2	Africa	Region						A	Normal value	2017	0.12029					Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.	Combined Budgetary and Central Government Expenditure	_X	Data nature not available	IX	Index	G	Global			
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	15	Northern Africa	3	2	Africa	Region						E	Estimated value	2018	0.1098					Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.	Combined Budgetary and Central Government Expenditure	_X	Data nature not available	IX	Index	G	Global			
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	150	Europe	2	1	World	Region						A	Normal value	2017	0.44041					Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.	Combined Budgetary and Central Government Expenditure	_X	Data nature not available	IX	Index	G	Global			
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	150	Europe	2	1	World	Region						E	Estimated value	2018	0.45974					Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.	Combined Budgetary and Central Government Expenditure	_X	Data nature not available	IX	Index	G	Global			
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	151	Eastern Europe	3	150	Europe	Region						A	Normal value	2017	0.53997					Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.	Combined Budgetary and Central Government Expenditure	_X	Data nature not available	IX	Index	G	Global			
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	151	Eastern Europe	3	150	Europe	Region						E	Estimated value	2018	0.52204					Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.	Combined Budgetary and Central Government Expenditure	_X	Data nature not available	IX	Index	G	Global			
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	152	Chile	5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1	A	Normal value	2018	0.4069					FAO Questionnaire. UNSD national account estimates.	Central Government	C	Country data	IX	Index	G	Global			
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	154	Northern Europe	3	150	Europe	Region						A	Normal value	2017	0.53926					Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.	Combined Budgetary and Central Government Expenditure	_X	Data nature not available	IX	Index	G	Global			
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	154	Northern Europe	3	150	Europe	Region						E	Estimated value	2018	0.61354					Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.	Combined Budgetary and Central Government Expenditure	_X	Data nature not available	IX	Index	G	Global			
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	155	Western Europe	3	150	Europe	Region						A	Normal value	2017	0.67176					Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.	Combined Budgetary and Central Government Expenditure	_X	Data nature not available	IX	Index	G	Global			
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	155	Western Europe	3	150	Europe	Region						E	Estimated value	2018	0.82123					Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.	Combined Budgetary and Central Government Expenditure	_X	Data nature not available	IX	Index	G	Global			
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	156	China	4	30	Eastern Asia	Country	104.1403375	32.30955217	CHN	1	1	A	Normal value	2017	0.30131					FAO Questionnaire. UNSD national account estimates.	Central Government	C	Country data	IX	Index	G	Global			
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	156	China	4	30	Eastern Asia	Country	104.1403375	32.30955217	CHN	1	1	I	Imputed value (CCSA definition)	2018	0.31643					FAO Questionnaire. UNSD national account estimates.	Central Government	C	Country data	IX	Index	G	Global			
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	17	Middle Africa	4	202	Sub-Saharan Africa	Region						A	Normal value	2017	0.17803					Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.	Combined Budgetary and Central Government Expenditure	_X	Data nature not available	IX	Index	G	Global			
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	17	Middle Africa	4	202	Sub-Saharan Africa	Region						E	Estimated value	2018	0.05091					Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.	Combined Budgetary and Central Government Expenditure	_X	Data nature not available	IX	Index	G	Global			
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	178	Congo	5	11	Western Africa	Country	15.22052612	-0.840544119	COG	1	1	A	Normal value	2012	0.57897					IMF data. UNSD national account estimates	Budgetary Central Government	C	Country data	IX	Index	G	Global			
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	18	Southern Africa	4	202	Sub-Saharan Africa	Region						A	Normal value	2017	0.63419					Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.	Combined Budgetary and Central Government Expenditure	_X	Data nature not available	IX	Index	G	Global			
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	18	Southern Africa	4	202	Sub-Saharan Africa	Region						E	Estimated value	2018	0.70735					Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.	Combined Budgetary and Central Government Expenditure	_X	Data nature not available	IX	Index	G	Global			
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	180	Democratic Republic of the Congo	5	17	Middle Africa	Country	23.65496507	-2.877154732	COD	1	1	A	Normal value	2018	0.09881					Official country publications. UNSD national account estimates.	Budgetary Central Government	C	Country data	IX	Index	G	Global			
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	184	Cook Islands	4	61	Polynesia	Country	-159.7711391	-21.22696458	COK	0	1	A	Normal value	2013	0.92094					FAO Questionnaire. UNSD national account estimates.	Central Government	C	Country data	IX	Index	G	Global			
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	188	Costa Rica	5	13	Central America	Country	-84.19712782	9.970998683	CRI	1	1	A	Normal value	2018	0.33916					Combined IMF and FAO Questionaire. UNSD national account estimates.	Central Government	C	Country data	IX	Index	G	Global			
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	191	Croatia	4	39	Southern Europe	Country	17.95874553	45.45172212	HRV	1	1	A	Normal value	2017	1.54346					FAO Questionnaire. UNSD national account estimates.	Budgetary Central Government	C	Country data	IX	Index	G	Global			
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	191	Croatia	4	39	Southern Europe	Country	17.95874553	45.45172212	HRV	1	1	I	Imputed value (CCSA definition)	2018	1.5868					FAO Questionnaire. UNSD national account estimates.	Budgetary Central Government	C	Country data	IX	Index	G	Global			
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	196	Cyprus	4	145	Western Asia	Country	33.22285964	35.05659437	CYP	1	1	A	Normal value	2017	0.92022					FAO Questionnaire. UNSD national account estimates.	Central Government	C	Country data	IX	Index	G	Global			
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	196	Cyprus	4	145	Western Asia	Country	33.22285964	35.05659437	CYP	1	1	I	Imputed value (CCSA definition)	2018	0.91826					FAO Questionnaire. UNSD national account estimates.	Central Government	C	Country data	IX	Index	G	Global			
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	199	Least Developed Countries (LDC)	1			Group						A	Normal value	2017	0.22266					Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.	Combined Budgetary and Central Government Expenditure	_X	Data nature not available	IX	Index	G	Global			
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	199	Least Developed Countries (LDC)	1			Group						E	Estimated value	2018	0.18057					Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.	Combined Budgetary and Central Government Expenditure	_X	Data nature not available	IX	Index	G	Global			
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	202	Sub-Saharan Africa	3	2	Africa	Region						A	Normal value	2017	0.21612					Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.	Combined Budgetary and Central Government Expenditure	_X	Data nature not available	IX	Index	G	Global			
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	202	Sub-Saharan Africa	3	2	Africa	Region						E	Estimated value	2018	0.1969					Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.	Combined Budgetary and Central Government Expenditure	_X	Data nature not available	IX	Index	G	Global			
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	203	Czechia	4	151	Eastern Europe	Country	15.33151382	49.73913871	CZE	1	1	A	Normal value	2017	1.67773					FAO Questionnaire. UNSD national account estimates.	Central Government	C	Country data	IX	Index	G	Global			
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	204	Benin	5	11	Western Africa	Country	2.339933594	9.65401646	BEN	1	1	A	Normal value	2010	0.07092					Combined IMF and FAO Questionaire. UNSD national account estimates.	Budgetary Central Government	C	Country data	IX	Index	G	Global			
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	208	Denmark	4	154	Northern Europe	Country	9.326571283	56.03829721	DNK	1	1	A	Normal value	2018	0.41883					FAO Questionnaire. UNSD national account estimates.	Central Government	C	Country data	IX	Index	G	Global			
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	21	Northern America	3	19	Americas	Region						A	Normal value	2018	0.53588					Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.	Combined Budgetary and Central Government Expenditure	_X	Data nature not available	IX	Index	G	Global			
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	214	Dominican Republic	5	29	Caribbean	Country	-70.49847576	18.89832088	DOM	1	1	A	Normal value	2018	0.27199					FAO Questionnaire. UNSD national account estimates.	Budgetary Central Government	C	Country data	IX	Index	G	Global			
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	218	Ecuador	5	5	South America	Country	-78.37005241	-1.447785891	ECU	1	1	A	Normal value	2015	0.26901					FAO Questionnaire. UNSD national account estimates.	Central Government	C	Country data	IX	Index	G	Global			
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	222	El Salvador	5	13	Central America	Country	-88.86862995	13.73603564	SLV	1	1	A	Normal value	2018	0.28537					Combined IMF and FAO Questionaire. UNSD national account estimates.	Central Government	C	Country data	IX	Index	G	Global			
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	226	Equatorial Guinea	5	17	Middle Africa	Country	10.46535826	1.565792376	GNQ	1	1	A	Normal value	2009	0.75737					IMF data. UNSD national account estimates	Budgetary Central Government	C	Country data	IX	Index	G	Global			
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	231	Ethiopia	5	14	Eastern Africa	Country	39.63505296	8.631223181	ETH	1	1	A	Normal value	2017	0.2609					IMF data. UNSD national account estimates	Budgetary Central Government	C	Country data	IX	Index	G	Global			
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	231	Ethiopia	5	14	Eastern Africa	Country	39.63505296	8.631223181	ETH	1	1	I	Imputed value (CCSA definition)	2018	0.28256					IMF data. UNSD national account estimates	Budgetary Central Government	C	Country data	IX	Index	G	Global			
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	233	Estonia	4	154	Northern Europe	Country	25.84093481	58.68487172	EST	1	1	A	Normal value	2017	0.66545					FAO Questionnaire. UNSD national account estimates.	Central Government	C	Country data	IX	Index	G	Global			
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	233	Estonia	4	154	Northern Europe	Country	25.84093481	58.68487172	EST	1	1	I	Imputed value (CCSA definition)	2018	0.59301					FAO Questionnaire. UNSD national account estimates.	Central Government	C	Country data	IX	Index	G	Global			
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	24	Angola	5	17	Middle Africa	Country	17.57817062	-12.33724746	AGO	1	1	A	Normal value	2018	0.04463					FAO Questionnaire. UNSD national account estimates.	Central Government	C	Country data	IX	Index	G	Global			
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	242	Fiji	4	54	Melanesia	Country	177.9660884	-17.83301566	FJI	1	1	A	Normal value	2017	0.4176					FAO Questionnaire. UNSD national account estimates.	Budgetary Central Government	C	Country data	IX	Index	G	Global			
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	242	Fiji	4	54	Melanesia	Country	177.9660884	-17.83301566	FJI	1	1	I	Imputed value (CCSA definition)	2018	0.4093					FAO Questionnaire. UNSD national account estimates.	Budgetary Central Government	C	Country data	IX	Index	G	Global			
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	246	Finland	4	154	Northern Europe	Country	23.308447	61.91586738	FIN	1	1	A	Normal value	2017	1.52229					FAO Questionnaire. UNSD national account estimates.	Central Government	C	Country data	IX	Index	G	Global			
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	246	Finland	4	154	Northern Europe	Country	23.308447	61.91586738	FIN	1	1	I	Imputed value (CCSA definition)	2018	1.4368					FAO Questionnaire. UNSD national account estimates.	Central Government	C	Country data	IX	Index	G	Global			
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	250	France	4	155	Western Europe	Country	2.457288129	46.62660861	FRA	1	1	A	Normal value	2017	0.50461					FAO Questionnaire. UNSD national account estimates.	Central Government	C	Country data	IX	Index	G	Global			
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	250	France	4	155	Western Europe	Country	2.457288129	46.62660861	FRA	1	1	I	Imputed value (CCSA definition)	2018	0.48273					FAO Questionnaire. UNSD national account estimates.	Central Government	C	Country data	IX	Index	G	Global			
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	268	Georgia	4	145	Western Asia	Country	43.3713615	42.04813028	GEO	1	1	A	Normal value	2018	0.2559					FAO Questionnaire. UNSD national account estimates.	Central Government	C	Country data	IX	Index	G	Global			
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	275	State of Palestine	4	145	Western Asia	Country	35.25694122	31.94347933	PSE	0	1	A	Normal value	2017	0.11326					Combined IMF and FAO Questionaire. UNSD national account estimates.	Central Government	C	Country data	IX	Index	G	Global			
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	275	State of Palestine	4	145	Western Asia	Country	35.25694122	31.94347933	PSE	0	1	I	Imputed value (CCSA definition)	2018	0.10835					Combined IMF and FAO Questionaire. UNSD national account estimates.	Central Government	C	Country data	IX	Index	G	Global			
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	28	Antigua and Barbuda	5	29	Caribbean	Country	-61.7999755	17.07761471	ATG	1	1	A	Normal value	2018	0.45906					FAO Questionnaire. UNSD national account estimates.	Central Government	C	Country data	IX	Index	G	Global			
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	288	Ghana	5	11	Western Africa	Country	-1.205623522	7.964825185	GHA	1	1	A	Normal value	2002	0.03772					Combined IMF and FAO Questionaire. UNSD national account estimates.	Budgetary Central Government	C	Country data	IX	Index	G	Global			
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	29	Caribbean	4	419	Latin America and the Caribbean	Region						A	Normal value	2017	0.31686					Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.	Combined Budgetary and Central Government Expenditure	_X	Data nature not available	IX	Index	G	Global			
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	29	Caribbean	4	419	Latin America and the Caribbean	Region						E	Estimated value	2018	0.3037					Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.	Combined Budgetary and Central Government Expenditure	_X	Data nature not available	IX	Index	G	Global			
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	30	Eastern Asia	3	142	Asia	Region						A	Normal value	2017	0.26787					Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.	Combined Budgetary and Central Government Expenditure	_X	Data nature not available	IX	Index	G	Global			
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	30	Eastern Asia	3	142	Asia	Region						E	Estimated value	2018	0.27969					Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.	Combined Budgetary and Central Government Expenditure	_X	Data nature not available	IX	Index	G	Global			
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	300	Greece	4	39	Southern Europe	Country	22.58307827	39.47301873	GRC	1	1	A	Normal value	2017	0.1732					FAO Questionnaire. UNSD national account estimates.	Central Government	C	Country data	IX	Index	G	Global			
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	300	Greece	4	39	Southern Europe	Country	22.58307827	39.47301873	GRC	1	1	I	Imputed value (CCSA definition)	2018	0.17244					FAO Questionnaire. UNSD national account estimates.	Central Government	C	Country data	IX	Index	G	Global			
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	308	Grenada	5	29	Caribbean	Country	-61.68248568	12.11238395	GRD	1	1	A	Normal value	2018	0.30674					FAO Questionnaire. UNSD national account estimates.	Central Government	C	Country data	IX	Index	G	Global			
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	31	Azerbaijan	4	145	Western Asia	Country	50.01064725	40.39229544	AZE	1	1	A	Normal value	2017	0.46677					IMF data. UNSD national account estimates	Central Government	C	Country data	IX	Index	G	Global			
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	31	Azerbaijan	4	145	Western Asia	Country	50.01064725	40.39229544	AZE	1	1	I	Imputed value (CCSA definition)	2018	0.49845					IMF data. UNSD national account estimates	Central Government	C	Country data	IX	Index	G	Global			
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	32	Argentina	5	5	South America	Country	-65.14563274	-35.19446255	ARG	1	1	A	Normal value	2018	0.06609					FAO Questionnaire. UNSD national account estimates.	Central Government	C	Country data	IX	Index	G	Global			
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	320	Guatemala	5	13	Central America	Country	-91.2312746	15.00273719	GTM	1	1	A	Normal value	2017	0.2142					FAO Questionnaire. UNSD national account estimates.	Central Government	C	Country data	IX	Index	G	Global			
