series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	Nature	Units	Education level	Reporting Type
SE_ACC_ELEC	Schools with access to electricity, by education level (%)	747	Northern Africa and Western Asia	2015.0	94.8911121282663	Float					UIS	['']	E	PERCENT	UPPSEC	G
SE_ACC_ELEC	Schools with access to electricity, by education level (%)	747	Northern Africa and Western Asia	2015.0	87.0731273636123	Float					UIS	['']	E	PERCENT	LOWSEC	G
SE_ACC_ELEC	Schools with access to electricity, by education level (%)	747	Northern Africa and Western Asia	2015.0	89.0637954294228	Float					UIS	['']	E	PERCENT	PRIMAR	G
SE_ACC_ELEC	Schools with access to electricity, by education level (%)	747	Northern Africa and Western Asia	2016.0	86.8724373274757	Float					UIS	['']	E	PERCENT	LOWSEC	G
SE_ACC_ELEC	Schools with access to electricity, by education level (%)	747	Northern Africa and Western Asia	2016.0	88.788676535969	Float					UIS	['']	E	PERCENT	PRIMAR	G
SE_ACC_ELEC	Schools with access to electricity, by education level (%)	747	Northern Africa and Western Asia	2016.0	97.957107469362	Float					UIS	['']	E	PERCENT	UPPSEC	G
SE_ACC_ELEC	Schools with access to electricity, by education level (%)	747	Northern Africa and Western Asia	2017.0	88.3248728663038	Float					UIS	['']	E	PERCENT	PRIMAR	G
SE_ACC_ELEC	Schools with access to electricity, by education level (%)	747	Northern Africa and Western Asia	2017.0	86.2592845954134	Float					UIS	['']	E	PERCENT	LOWSEC	G
SE_ACC_ELEC	Schools with access to electricity, by education level (%)	747	Northern Africa and Western Asia	2017.0	98.1441415711671	Float					UIS	['']	E	PERCENT	UPPSEC	G
SE_ACC_ELEC	Schools with access to electricity, by education level (%)	747	Northern Africa and Western Asia	2018.0	98.1008700112272	Float					UIS	['']	E	PERCENT	UPPSEC	G
SE_ACC_ELEC	Schools with access to electricity, by education level (%)	747	Northern Africa and Western Asia	2018.0	86.0269857891829	Float					UIS	['']	E	PERCENT	LOWSEC	G
