series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	Nature	Units	Reporting Type	Type of waste treatment
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	192	Cuba	2010.0	16924	Float					UNSTATS / Environment Live 	['']	C	TONNES	G	INCINRT
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	192	Cuba	2010.0	12421	Float					UNSTATS / Environment Live 	['']	C	TONNES	G	LANDFIL
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	192	Cuba	2010.0	6956	Float					UNSTATS / Environment Live 	['']	C	TONNES	G	RECYCL
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	192	Cuba	2011.0	15423	Float					UNSTATS / Environment Live 	['']	C	TONNES	G	INCINRT
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	192	Cuba	2011.0	7300	Float					UNSTATS / Environment Live 	['']	C	TONNES	G	LANDFIL
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	192	Cuba	2011.0	5582	Float					UNSTATS / Environment Live 	['']	C	TONNES	G	RECYCL
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	192	Cuba	2012.0	118909	Float					UNSTATS / Environment Live 	['']	C	TONNES	G	LANDFIL
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	192	Cuba	2012.0	5334	Float					UNSTATS / Environment Live 	['']	C	TONNES	G	RECYCL
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	192	Cuba	2012.0	11678	Float					UNSTATS / Environment Live 	['']	C	TONNES	G	INCINRT
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	192	Cuba	2013.0	15423	Float					UNSTATS / Environment Live 	['']	C	TONNES	G	INCINRT
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	192	Cuba	2013.0	170000	Float					UNSTATS / Environment Live 	['']	C	TONNES	G	LANDFIL
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	192	Cuba	2013.0	17876	Float					UNSTATS / Environment Live 	['']	C	TONNES	G	RECYCL
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	192	Cuba	2014.0	21194	Float					UNSTATS / Environment Live 	['']	C	TONNES	G	INCINRT
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	192	Cuba	2014.0	116000	Float					UNSTATS / Environment Live 	['']	C	TONNES	G	LANDFIL
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	192	Cuba	2014.0	25055	Float					UNSTATS / Environment Live 	['']	C	TONNES	G	RECYCL
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	192	Cuba	2015.0	25718	Float					UNSTATS / Environment Live 	['']	C	TONNES	G	INCINRT
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	192	Cuba	2015.0	137887	Float					UNSTATS / Environment Live 	['']	C	TONNES	G	LANDFIL
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	192	Cuba	2015.0	20492	Float					UNSTATS / Environment Live 	['']	C	TONNES	G	RECYCL
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	192	Cuba	2016.0	7493	Float					UNSTATS / Environment Live 	['']	C	TONNES	G	INCINRT
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	192	Cuba	2016.0	25289	Float					UNSTATS / Environment Live 	['']	C	TONNES	G	RECYCL
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	192	Cuba	2016.0	7803	Float					UNSTATS / Environment Live 	['']	C	TONNES	G	LANDFIL
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	192	Cuba	2017.0	9269	Float					UNSTATS / Environment Live 	['']	C	TONNES	G	INCINRT
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	192	Cuba	2017.0	5469	Float					UNSTATS / Environment Live 	['']	C	TONNES	G	LANDFIL
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	192	Cuba	2017.0	16245	Float					UNSTATS / Environment Live 	['']	C	TONNES	G	RECYCL
