series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	Nature	Units	Sex	Type of occupation	Reporting Type
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2014.0	75	Float					HIES - Income Survey	['Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	FEMALE	isco08-2	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2014.0	74	Float					HIES - Income Survey	['Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	FEMALE	isco08-1	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2014.0	31	Float					HIES - Income Survey	['Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	FEMALE	isco08-7	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2014.0	29	Float					HIES - Income Survey	['Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	FEMALE	isco08-8	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2014.0	22	Float					HIES - Income Survey	['Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	FEMALE	isco08-X	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2014.0	96	Float					HIES - Income Survey	['Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	MALE	isco08-2	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2014.0	66	Float					HIES - Income Survey	['Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	MALE	isco08-3	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2014.0	45	Float					HIES - Income Survey	['Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	MALE	isco08-4	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2014.0	24	Float					HIES - Income Survey	['Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	FEMALE	isco08-9	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2015.0	90.1	Float					HIES - Income Survey	['Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	BOTHSEX	isco08-1	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2015.0	55.7	Float					HIES - Income Survey	['Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	BOTHSEX	isco08	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2015.0	30	Float					HIES - Income Survey	['Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	FEMALE	isco08-5	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2015.0	84.3	Float					HIES - Income Survey	['Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	BOTHSEX	isco08-2	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2015.0	43.9	Float					HIES - Income Survey	['Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	MALE	isco08-7	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2015.0	38.8	Float					HIES - Income Survey	['Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	MALE	isco08-8	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2015.0	75.3	Float					HIES - Income Survey	['Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	FEMALE	isco08-2	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2015.0	43.2	Float					HIES - Income Survey	['Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	FEMALE	isco08-4	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2015.0	45.3	Float					HIES - Income Survey	['Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	MALE	isco08-4	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2015.0	50.2	Float					HIES - Income Survey	['Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	FEMALE	isco08-3	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2015.0	37.7	Float					HIES - Income Survey	['Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	MALE	isco08-5	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2015.0	37.3	Float					HIES - Income Survey	['Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	MALE	isco08-6	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2015.0	25.6	Float					HIES - Income Survey	['Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	MALE	isco08-9	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2015.0	37.7	Float					HIES - Income Survey	['Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	BOTHSEX	isco08-8	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2015.0	57.6	Float					HIES - Income Survey	['Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	BOTHSEX	isco08-3	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2015.0	37.8	Float					HIES - Income Survey	['Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	BOTHSEX	isco08-6	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2015.0	42.7	Float					HIES - Income Survey	['Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	BOTHSEX	isco08-7	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2015.0	33.5	Float					HIES - Income Survey	['Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	BOTHSEX	isco08-5	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2015.0	50.6	Float					HIES - Income Survey	['Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	FEMALE	isco08	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2015.0	79.2	Float					HIES - Income Survey	['Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	FEMALE	isco08-1	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2015.0	29.7	Float					HIES - Income Survey	['Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	MALE	isco08-X	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2015.0	43.8	Float					HIES - Income Survey	['Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	BOTHSEX	isco08-4	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2015.0	65.7	Float					HIES - Income Survey	['Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	MALE	isco08-3	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2015.0	95.2	Float					HIES - Income Survey	['Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	MALE	isco08-1	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2015.0	93.7	Float					HIES - Income Survey	['Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	MALE	isco08-2	G
