series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	Nature	Units	Sex	Disability status	Reporting Type
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	604	Peru	2014.0	3.13	Float					HS - National Household Survey	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	FEMALE	PWD	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	604	Peru	2014.0	1.48	Float					HS - National Household Survey	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	FEMALE	PD	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	604	Peru	2014.0	3.07	Float					HS - National Household Survey	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	FEMALE	_T	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	604	Peru	2014.0	2.88	Float					HS - National Household Survey	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	MALE	PWD	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	604	Peru	2014.0	2.39	Float					HS - National Household Survey	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	MALE	PD	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	604	Peru	2014.0	3	Float					HS - National Household Survey	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	BOTHSEX	PWD	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	604	Peru	2014.0	1.98	Float					HS - National Household Survey	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	BOTHSEX	PD	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	604	Peru	2014.0	2.96	Float					HS - National Household Survey	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	BOTHSEX	_T	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	604	Peru	2014.0	2.87	Float					HS - National Household Survey	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	MALE	_T	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	604	Peru	2015.0	3.02	Float					HS - National Household Survey	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	BOTHSEX	PWD	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	604	Peru	2015.0	2.27	Float					HS - National Household Survey	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	BOTHSEX	PD	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	604	Peru	2015.0	2.99	Float					HS - National Household Survey	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	FEMALE	PWD	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	604	Peru	2015.0	2.96	Float					HS - National Household Survey	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	FEMALE	_T	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	604	Peru	2015.0	3.05	Float					HS - National Household Survey	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	MALE	PWD	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	604	Peru	2015.0	2.57	Float					HS - National Household Survey	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	MALE	PD	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	604	Peru	2015.0	3.03	Float					HS - National Household Survey	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	MALE	_T	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	604	Peru	2015.0	1.9	Float					HS - National Household Survey	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	FEMALE	PD	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	604	Peru	2015.0	3	Float					HS - National Household Survey	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	BOTHSEX	_T	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	604	Peru	2016.0	3.5	Float					HS - National Household Survey	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	MALE	_T	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	604	Peru	2016.0	3.53	Float					HS - National Household Survey	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	BOTHSEX	PWD	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	604	Peru	2016.0	3.69	Float					HS - National Household Survey	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	BOTHSEX	PD	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	604	Peru	2016.0	3.53	Float					HS - National Household Survey	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	BOTHSEX	_T	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	604	Peru	2016.0	4.61	Float					HS - National Household Survey	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	MALE	PD	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	604	Peru	2016.0	3.46	Float					HS - National Household Survey	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	MALE	PWD	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	604	Peru	2016.0	2.53	Float					HS - National Household Survey	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	FEMALE	PD	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	604	Peru	2016.0	3.6	Float					HS - National Household Survey	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	FEMALE	PWD	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	604	Peru	2016.0	3.57	Float					HS - National Household Survey	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	FEMALE	_T	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	604	Peru	2017.0	3.38	Float					HS - National Household Survey	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	MALE	PD	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	604	Peru	2017.0	3.42	Float					HS - National Household Survey	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	MALE	_T	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	604	Peru	2017.0	3.56	Float					HS - National Household Survey	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	FEMALE	PWD	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	604	Peru	2017.0	1.67	Float					HS - National Household Survey	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	FEMALE	PD	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	604	Peru	2017.0	3.5	Float					HS - National Household Survey	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	FEMALE	_T	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	604	Peru	2017.0	3.43	Float					HS - National Household Survey	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	MALE	PWD	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	604	Peru	2017.0	3.49	Float					HS - National Household Survey	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	BOTHSEX	PWD	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	604	Peru	2017.0	2.62	Float					HS - National Household Survey	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	BOTHSEX	PD	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	604	Peru	2017.0	3.46	Float					HS - National Household Survey	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	BOTHSEX	_T	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	604	Peru	2018.0	6.43	Float					LFS - Permanent Employment Survey (Urban)	['Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main city or metropolitan area']	C	PERCENT	BOTHSEX	_T	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	604	Peru	2018.0	6.08	Float					LFS - Permanent Employment Survey (Urban)	['Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main city or metropolitan area']	C	PERCENT	BOTHSEX	PD	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	604	Peru	2018.0	6.43	Float					LFS - Permanent Employment Survey (Urban)	['Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main city or metropolitan area']	C	PERCENT	BOTHSEX	PWD	G
