series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	Nature	Units	Reporting Type	Type of waste treatment
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	792	Turkey	2004.0	790775	Float					UNSTATS / Environment Live 	['']	C	TONNES	G	LANDFIL
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	792	Turkey	2004.0	191901	Float					UNSTATS / Environment Live 	['']	C	TONNES	G	INCINRT
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	792	Turkey	2006.0	28251	Float					UNSTATS / Environment Live 	['']	C	TONNES	G	INCINRT
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	792	Turkey	2006.0	26241	Float					UNSTATS / Environment Live 	['']	C	TONNES	G	LANDFIL
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	792	Turkey	2008.0	738193	Float					UNSTATS / Environment Live 	['']	C	TONNES	G	LANDFIL
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	792	Turkey	2008.0	56947	Float					UNSTATS / Environment Live 	['']	C	TONNES	G	INCINRT
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	792	Turkey	2010.0	200627	Float					UNSTATS / Environment Live 	['']	C	TONNES	G	RECYCL
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	792	Turkey	2010.0	2932429	Float					UNSTATS / Environment Live 	['']	C	TONNES	G	LANDFIL
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	792	Turkey	2010.0	27331	Float					UNSTATS / Environment Live 	['']	C	TONNES	G	INCINRT
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	792	Turkey	2012.0	40559	Float					UNSTATS / Environment Live 	['']	C	TONNES	G	INCINRT
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	792	Turkey	2012.0	555754	Float					UNSTATS / Environment Live 	['']	C	TONNES	G	RECYCL
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	792	Turkey	2012.0	2750235	Float					UNSTATS / Environment Live 	['']	C	TONNES	G	LANDFIL
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	792	Turkey	2014.0	33329	Float					UNSTATS / Environment Live 	['']	C	TONNES	G	INCINRT
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	792	Turkey	2014.0	5831220	Float					UNSTATS / Environment Live 	['']	C	TONNES	G	LANDFIL
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	792	Turkey	2014.0	437731	Float					UNSTATS / Environment Live 	['']	C	TONNES	G	RECYCL
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	792	Turkey	2016.0	696322	Float					UNSTATS / Environment Live 	['']	C	TONNES	G	RECYCL
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	792	Turkey	2016.0	6623186	Float					UNSTATS / Environment Live 	['']	C	TONNES	G	LANDFIL
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	792	Turkey	2016.0	57814	Float					UNSTATS / Environment Live 	['']	C	TONNES	G	INCINRT
