series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	Nature	Units	Type of speed	Reporting Type
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	380	Italy	2000.0	115000	Float					Telecom Italia. Ministry of Communications.	['']	NA	NUMBER	ANYS	G
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	380	Italy	2001.0	390000	Float					Telecom Italia. Ministry of Communications.	['']	NA	NUMBER	ANYS	G
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	380	Italy	2002.0	850000	Float					Telecom Italia. Ministry of Communications.	['']	NA	NUMBER	ANYS	G
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	380	Italy	2003.0	2250000	Float					Telecom Italia. Ministry of Communications.	['']	NA	NUMBER	ANYS	G
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	380	Italy	2004.0	4724500	Float					Telecom Italia. Ministry of Communications.	['']	NA	NUMBER	ANYS	G
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	380	Italy	2005.0	6822210	Float					Telecom Italia. Ministry of Communications.	['']	NA	NUMBER	ANYS	G
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	380	Italy	2006.0	8497422	Float					Ministry of Economic Development	['']	NA	NUMBER	ANYS	G
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	380	Italy	2007.0	10122126	Float					Ministry of Economic Development	['']	NA	NUMBER	ANYS	G
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	380	Italy	2008.0	883639	Float					Ministry of ECONOMIC DEVELOPMENT - dep. of Communications	['']	NA	NUMBER	10MBPS	G
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	380	Italy	2008.0	3639322	Float					Ministry of ECONOMIC DEVELOPMENT - dep. of Communications	['']	NA	NUMBER	256KT2MBPS	G
