series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	Nature	Units	Reporting Type	Type of waste treatment
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	480	Mauritius	2003.0	71	Float					UNSTATS / Environment Live 	['Data refer to acceptable hazardous wastes for landfilling such as asbestos, Clinical wastes and surgical waste. Data submitted are provisional.']	C	TONNES	G	LANDFIL
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	480	Mauritius	2004.0	48	Float					UNSTATS / Environment Live 	['Data refer to acceptable hazardous wastes for landfilling such as asbestos, Clinical wastes and surgical waste. Data submitted are provisional.']	C	TONNES	G	LANDFIL
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	480	Mauritius	2005.0	107	Float					UNSTATS / Environment Live 	['Data refer to acceptable hazardous wastes for landfilling such as asbestos, Clinical wastes and surgical waste. Data submitted are provisional.']	C	TONNES	G	LANDFIL
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	480	Mauritius	2006.0	22	Float					UNSTATS / Environment Live 	['Data refer to acceptable hazardous wastes for landfilling such as asbestos, Clinical wastes and surgical waste. Data submitted are provisional.']	C	TONNES	G	LANDFIL
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	480	Mauritius	2007.0	264	Float					UNSTATS / Environment Live 	['Data refer to acceptable hazardous wastes for landfilling such as asbestos, Clinical wastes and surgical waste. Data submitted are provisional.']	C	TONNES	G	LANDFIL
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	480	Mauritius	2007.0	1943	Float					UNSTATS / Environment Live 	['Data refer to clinical wastes.']	C	TONNES	G	INCINRT
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	480	Mauritius	2007.0	1693	Float					UNSTATS / Environment Live 	['Data refer to used oil.']	C	TONNES	G	RECYCL
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	480	Mauritius	2008.0	1800	Float					UNSTATS / Environment Live 	['Data refer to clinical wastes.']	C	TONNES	G	INCINRT
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	480	Mauritius	2008.0	974.67999299999997	Float					UNSTATS / Environment Live 	['Data refer to used oil.']	C	TONNES	G	RECYCL
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	480	Mauritius	2008.0	37	Float					UNSTATS / Environment Live 	['Data refer to acceptable hazardous wastes for landfilling such as asbestos, Clinical wastes and surgical waste. Data submitted are provisional.']	C	TONNES	G	LANDFIL
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	480	Mauritius	2009.0	1275.4499510000001	Float					UNSTATS / Environment Live 	['Data refer to used oil.']	C	TONNES	G	RECYCL
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	480	Mauritius	2009.0	360	Float					UNSTATS / Environment Live 	['Data refer to acceptable hazardous wastes for landfilling such as asbestos, Clinical wastes and surgical waste. Data submitted are provisional.']	C	TONNES	G	LANDFIL
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	480	Mauritius	2009.0	1800	Float					UNSTATS / Environment Live 	['Data refer to clinical wastes.']	C	TONNES	G	INCINRT
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	480	Mauritius	2010.0	1800	Float					UNSTATS / Environment Live 	['Data refer to clinical wastes.']	C	TONNES	G	INCINRT
EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	480	Mauritius	2010.0	1005.320007	Float					UNSTATS / Environment Live 	['Data refer to used oil.']	C	TONNES	G	RECYCL
