series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	Nature	Units	Reporting Type	Quantile
SI_COV_SOCAST	[World Bank] Proportion of population covered by social assistance programs (%)	417	Kyrgyzstan	2006.0	8.11491	Float					National Statistical Committee of the Kyrgyz Republic - NSC	['Kyrgyz Integrated Household Survey 2006']	CA	PERCENT	G	_T
SI_COV_SOCAST	[World Bank] Proportion of population covered by social assistance programs (%)	417	Kyrgyzstan	2006.0	15.73379	Float					National Statistical Committee of the Kyrgyz Republic - NSC	['Kyrgyz Integrated Household Survey 2006']	CA	PERCENT	G	Q1
SI_COV_SOCAST	[World Bank] Proportion of population covered by social assistance programs (%)	417	Kyrgyzstan	2011.0	8.47452	Float					National Statistical Committee of the Kyrgyz Republic - NSC	['Kyrgyz Integrated Household Survey ']	CA	PERCENT	G	_T
SI_COV_SOCAST	[World Bank] Proportion of population covered by social assistance programs (%)	417	Kyrgyzstan	2011.0	15.64788	Float					National Statistical Committee of the Kyrgyz Republic - NSC	['Kyrgyz Integrated Household Survey ']	CA	PERCENT	G	Q1
SI_COV_SOCAST	[World Bank] Proportion of population covered by social assistance programs (%)	417	Kyrgyzstan	2012.0	11.41397	Float					National Statistical Committee of the Kyrgyz Republic - NSC	['Kyrgyz Integrated Household Survey ']	CA	PERCENT	G	Q1
SI_COV_SOCAST	[World Bank] Proportion of population covered by social assistance programs (%)	417	Kyrgyzstan	2012.0	7.29997	Float					National Statistical Committee of the Kyrgyz Republic - NSC	['Kyrgyz Integrated Household Survey ']	CA	PERCENT	G	_T
SI_COV_SOCAST	[World Bank] Proportion of population covered by social assistance programs (%)	417	Kyrgyzstan	2013.0	13.29337	Float					National Statistical Committee of the Kyrgyz Republic - NSC	['Kyrgyz Integrated Household Survey ']	CA	PERCENT	G	Q1
SI_COV_SOCAST	[World Bank] Proportion of population covered by social assistance programs (%)	417	Kyrgyzstan	2013.0	7.17786	Float					National Statistical Committee of the Kyrgyz Republic - NSC	['Kyrgyz Integrated Household Survey ']	CA	PERCENT	G	_T
