series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	Nature	Units	Sex	Reporting Type	Disability status
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	152	Chile	2006.0	7.4	Float					HS - National Survey on Socio-Economic Conditions	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	BOTHSEX	G	_T
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	152	Chile	2006.0	7.33	Float					HS - National Survey on Socio-Economic Conditions	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	BOTHSEX	G	PWD
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	152	Chile	2006.0	8.9	Float					HS - National Survey on Socio-Economic Conditions	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	BOTHSEX	G	PD
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	152	Chile	2006.0	6.08	Float					HS - National Survey on Socio-Economic Conditions	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	MALE	G	_T
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	152	Chile	2006.0	9.37	Float					HS - National Survey on Socio-Economic Conditions	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	FEMALE	G	PWD
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	152	Chile	2006.0	10.96	Float					HS - National Survey on Socio-Economic Conditions	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	FEMALE	G	PD
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	152	Chile	2006.0	9.44	Float					HS - National Survey on Socio-Economic Conditions	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	FEMALE	G	_T
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	152	Chile	2006.0	6	Float					HS - National Survey on Socio-Economic Conditions	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	MALE	G	PWD
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	152	Chile	2006.0	7.54	Float					HS - National Survey on Socio-Economic Conditions	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	MALE	G	PD
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	152	Chile	2009.0	8.09	Float					HS - National Survey on Socio-Economic Conditions	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	MALE	G	PD
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	152	Chile	2009.0	8.96	Float					HS - National Survey on Socio-Economic Conditions	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	MALE	G	_T
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	152	Chile	2009.0	10.41	Float					HS - National Survey on Socio-Economic Conditions	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	BOTHSEX	G	PWD
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	152	Chile	2009.0	8.9	Float					HS - National Survey on Socio-Economic Conditions	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	BOTHSEX	G	PD
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	152	Chile	2009.0	10.34	Float					HS - National Survey on Socio-Economic Conditions	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	BOTHSEX	G	_T
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	152	Chile	2009.0	12.51	Float					HS - National Survey on Socio-Economic Conditions	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	FEMALE	G	PWD
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	152	Chile	2009.0	12.4	Float					HS - National Survey on Socio-Economic Conditions	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	FEMALE	G	_T
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	152	Chile	2009.0	10.06	Float					HS - National Survey on Socio-Economic Conditions	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	FEMALE	G	PD
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	152	Chile	2009.0	9	Float					HS - National Survey on Socio-Economic Conditions	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	MALE	G	PWD
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	152	Chile	2011.0	7.14	Float					HS - National Survey on Socio-Economic Conditions	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	BOTHSEX	G	PWD
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	152	Chile	2011.0	7.14	Float					HS - National Survey on Socio-Economic Conditions	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	BOTHSEX	G	_T
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	152	Chile	2011.0	7.18	Float					HS - National Survey on Socio-Economic Conditions	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	BOTHSEX	G	PD
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	152	Chile	2011.0	5.92	Float					HS - National Survey on Socio-Economic Conditions	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	MALE	G	PWD
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	152	Chile	2011.0	5.92	Float					HS - National Survey on Socio-Economic Conditions	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	MALE	G	_T
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	152	Chile	2011.0	8.58	Float					HS - National Survey on Socio-Economic Conditions	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	FEMALE	G	PD
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	152	Chile	2011.0	8.87	Float					HS - National Survey on Socio-Economic Conditions	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	FEMALE	G	PWD
