series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	Nature	Units	Reporting Type	Sampling Stations
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	36	Australia	2010.0	8.07200	Float		8.1080	8.0470		Intergovernmental Oceanographic Commission (IOC) of UNESCO	['Mooring Name: NRSKAI | LATITUDE: -35.833 | LONGITUDE: 136.433']	C	PH	G	NRSKAI
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	36	Australia	2010.0	8.08383	Float		8.1240	8.0360		Intergovernmental Oceanographic Commission (IOC) of UNESCO	['Mooring Name: NRSNSI | LATITUDE: -27.39 | LONGITUDE: 153.58']	C	PH	G	NRSNSI
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	36	Australia	2010.0	8.06292	Float		8.1040	8.0260		Intergovernmental Oceanographic Commission (IOC) of UNESCO	['Mooring Name: NRSYON | LATITUDE: -19.3065 | LONGITUDE: 147.6202']	C	PH	G	NRSYON
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	36	Australia	2010.0	8.09200	Float		8.1110	8.0710		Intergovernmental Oceanographic Commission (IOC) of UNESCO	['Mooring Name: NRSROT | LATITUDE: -32.0025 | LONGITUDE: 115.402']	C	PH	G	NRSROT
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	36	Australia	2010.0	8.09920	Float		8.1300	8.0390		Intergovernmental Oceanographic Commission (IOC) of UNESCO	['Mooring Name: NRSPHB | LATITUDE: -34.12 | LONGITUDE: 151.23']	C	PH	G	NRSPHB
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	36	Australia	2010.0	8.09379	Float		8.1550	8.0580		Intergovernmental Oceanographic Commission (IOC) of UNESCO	['Mooring Name: NRSMAI | LATITUDE: -42.6 | LONGITUDE: 148.233']	C	PH	G	NRSMAI
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	36	Australia	2011.0	8.09036	Float		8.1210	8.0510		Intergovernmental Oceanographic Commission (IOC) of UNESCO	['Mooring Name: NRSROT | LATITUDE: -31.9985333333333 | LONGITUDE: 115.407566666667']	C	PH	G	NRSROT
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	36	Australia	2011.0	8.11310	Float		8.1380	8.0720		Intergovernmental Oceanographic Commission (IOC) of UNESCO	['Mooring Name: NRSPHB | LATITUDE: -34.12 | LONGITUDE: 151.21']	C	PH	G	NRSPHB
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	36	Australia	2011.0	8.05165	Float		8.0940	8.0140		Intergovernmental Oceanographic Commission (IOC) of UNESCO	['Mooring Name: NRSYON | LATITUDE: -19.3036 | LONGITUDE: 147.6216']	C	PH	G	NRSYON
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	36	Australia	2011.0	8.08830	Float		8.1210	8.0740		Intergovernmental Oceanographic Commission (IOC) of UNESCO	['Mooring Name: NRSMAI | LATITUDE: -42.6 | LONGITUDE: 148.234']	C	PH	G	NRSMAI
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	36	Australia	2011.0	8.07983	Float		8.0990	8.0590		Intergovernmental Oceanographic Commission (IOC) of UNESCO	['Mooring Name: NRSKAI | LATITUDE: -35.835 | LONGITUDE: 136.448']	C	PH	G	NRSKAI
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	36	Australia	2011.0	8.09022	Float		8.1210	8.0540		Intergovernmental Oceanographic Commission (IOC) of UNESCO	['Mooring Name: NRSNSI | LATITUDE: -27.34 | LONGITUDE: 153.56']	C	PH	G	NRSNSI
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	36	Australia	2012.0	8.08700	Float		8.1200	8.0540		Intergovernmental Oceanographic Commission (IOC) of UNESCO	['Mooring Name: NRSNSI | LATITUDE: -27.34 | LONGITUDE: 153.56']	C	PH	G	NRSNSI
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	36	Australia	2012.0	8.09021	Float		8.1070	8.0630		Intergovernmental Oceanographic Commission (IOC) of UNESCO	['Mooring Name: NRSMAI | LATITUDE: -42.598 | LONGITUDE: 148.236']	C	PH	G	NRSMAI
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	36	Australia	2012.0	8.04813	Float		8.0890	7.9660		Intergovernmental Oceanographic Commission (IOC) of UNESCO	['Mooring Name: NRSDAR | LATITUDE: -12.333 | LONGITUDE: 130.69']	C	PH	G	NRSDAR
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	36	Australia	2012.0	8.06200	Float		8.0670	8.0560		Intergovernmental Oceanographic Commission (IOC) of UNESCO	['Mooring Name: NRSKAI | LATITUDE: -35.837 | LONGITUDE: 136.448']	C	PH	G	NRSKAI
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	36	Australia	2012.0	8.05782	Float		8.1000	8.0130		Intergovernmental Oceanographic Commission (IOC) of UNESCO	['Mooring Name: NRSYON | LATITUDE: -19.3056 | LONGITUDE: 147.621']	C	PH	G	NRSYON
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	36	Australia	2012.0	8.07756	Float		8.1110	8.0600		Intergovernmental Oceanographic Commission (IOC) of UNESCO	['Mooring Name: NRSROT | LATITUDE: -31.9999166666667 | LONGITUDE: 115.4156']	C	PH	G	NRSROT
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	36	Australia	2012.0	8.10260	Float		8.1160	8.0780		Intergovernmental Oceanographic Commission (IOC) of UNESCO	['Mooring Name: NRSPHB | LATITUDE: -34.12 | LONGITUDE: 151.22']	C	PH	G	NRSPHB
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	36	Australia	2013.0	8.07750	Float		8.1100	8.0510		Intergovernmental Oceanographic Commission (IOC) of UNESCO	['Mooring Name: NRSROT | LATITUDE: -31.9999166666667 | LONGITUDE: 115.4156']	C	PH	G	NRSROT
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	36	Australia	2013.0	8.05633	Float		8.0940	8.0100		Intergovernmental Oceanographic Commission (IOC) of UNESCO	['Mooring Name: NRSYON | LATITUDE: -19.3096 | LONGITUDE: 147.624']	C	PH	G	NRSYON
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	36	Australia	2013.0	8.08780	Float		8.1060	8.0620		Intergovernmental Oceanographic Commission (IOC) of UNESCO	['Mooring Name: NRSMAI | LATITUDE: -42.597 | LONGITUDE: 148.233']	C	PH	G	NRSMAI
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	36	Australia	2013.0	8.06700	Float		8.0950	8.0400		Intergovernmental Oceanographic Commission (IOC) of UNESCO	['Mooring Name: NRSKAI | LATITUDE: -35.835 | LONGITUDE: 136.448']	C	PH	G	NRSKAI
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	36	Australia	2013.0	8.09444	Float		8.1040	8.0810		Intergovernmental Oceanographic Commission (IOC) of UNESCO	['Mooring Name: NRSPHB | LATITUDE: -34.12 | LONGITUDE: 151.22']	C	PH	G	NRSPHB
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	36	Australia	2013.0	8.07473	Float		8.1220	8.0470		Intergovernmental Oceanographic Commission (IOC) of UNESCO	['Mooring Name: NRSNSI | LATITUDE: -27.34 | LONGITUDE: 153.56']	C	PH	G	NRSNSI
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	36	Australia	2014.0	7.97258	Float		8.0290	7.9280		Intergovernmental Oceanographic Commission (IOC) of UNESCO	['Mooring Name: NRSDAR | LATITUDE: -12.337 | LONGITUDE: 130.697']	C	PH	G	NRSDAR
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	36	Australia	2014.0	8.08020	Float		8.1060	8.0510		Intergovernmental Oceanographic Commission (IOC) of UNESCO	['Mooring Name: NRSNSI | LATITUDE: -27.34 | LONGITUDE: 153.56']	C	PH	G	NRSNSI
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	36	Australia	2014.0	8.09918	Float		8.1230	8.0680		Intergovernmental Oceanographic Commission (IOC) of UNESCO	['Mooring Name: NRSPHB | LATITUDE: -34.11 | LONGITUDE: 151.22']	C	PH	G	NRSPHB
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	36	Australia	2014.0	8.07607	Float		8.0980	8.0600		Intergovernmental Oceanographic Commission (IOC) of UNESCO	['Mooring Name: NRSMAI | LATITUDE: -42.598 | LONGITUDE: 148.234']	C	PH	G	NRSMAI
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	36	Australia	2014.0	8.05810	Float		8.0990	8.0140		Intergovernmental Oceanographic Commission (IOC) of UNESCO	['Mooring Name: NRSYON | LATITUDE: -19.3058 | LONGITUDE: 147.62']	C	PH	G	NRSYON
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	36	Australia	2014.0	8.06700	Float		8.0840	8.0530		Intergovernmental Oceanographic Commission (IOC) of UNESCO	['Mooring Name: NRSKAI | LATITUDE: -35.837 | LONGITUDE: 136.447']	C	PH	G	NRSKAI
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	36	Australia	2014.0	8.08510	Float		8.1150	8.0590		Intergovernmental Oceanographic Commission (IOC) of UNESCO	['Mooring Name: NRSROT | LATITUDE: -31.9999166666667 | LONGITUDE: 115.4156']	C	PH	G	NRSROT
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	36	Australia	2015.0	8.08000	Float		8.0990	8.0560		Intergovernmental Oceanographic Commission (IOC) of UNESCO	['Mooring Name: NRSROT | LATITUDE: -31.9999166666667 | LONGITUDE: 115.4156']	C	PH	G	NRSROT
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	36	Australia	2015.0	8.08700	Float		8.1370	8.0420		Intergovernmental Oceanographic Commission (IOC) of UNESCO	['Mooring Name: NRSMAI | LATITUDE: -42.599 | LONGITUDE: 148.233']	C	PH	G	NRSMAI
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	36	Australia	2015.0	8.06867	Float		8.0850	8.0420		Intergovernmental Oceanographic Commission (IOC) of UNESCO	['Mooring Name: NRSKAI | LATITUDE: -35.838 | LONGITUDE: 136.445']	C	PH	G	NRSKAI
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	36	Australia	2015.0	8.07600	Float		8.1110	8.0420		Intergovernmental Oceanographic Commission (IOC) of UNESCO	['Mooring Name: NRSNSI | LATITUDE: -27.34 | LONGITUDE: 153.56']	C	PH	G	NRSNSI
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	36	Australia	2015.0	8.05130	Float		8.0880	8.0130		Intergovernmental Oceanographic Commission (IOC) of UNESCO	['Mooring Name: NRSYON | LATITUDE: -19.3027 | LONGITUDE: 147.6187']	C	PH	G	NRSYON
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	36	Australia	2015.0	8.08557	Float		8.1050	8.0600		Intergovernmental Oceanographic Commission (IOC) of UNESCO	['Mooring Name: NRSPHB | LATITUDE: -34.12 | LONGITUDE: 151.22']	C	PH	G	NRSPHB
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	36	Australia	2015.0	7.98728	Float		8.0610	7.9260		Intergovernmental Oceanographic Commission (IOC) of UNESCO	['Mooring Name: NRSDAR | LATITUDE: -12.344 | LONGITUDE: 130.713']	C	PH	G	NRSDAR
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	36	Australia	2016.0	7.95470	Float		8.0020	7.9330		Intergovernmental Oceanographic Commission (IOC) of UNESCO	['Mooring Name: NRSDAR | LATITUDE: -12.345 | LONGITUDE: 130.713']	C	PH	G	NRSDAR
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	36	Australia	2016.0	8.06933	Float		8.1070	8.0190		Intergovernmental Oceanographic Commission (IOC) of UNESCO	['Mooring Name: NRSROT | LATITUDE: -31.9999166666667 | LONGITUDE: 115.4156']	C	PH	G	NRSROT
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	36	Australia	2016.0	8.03580	Float		8.0770	7.9940		Intergovernmental Oceanographic Commission (IOC) of UNESCO	['Mooring Name: NRSYON | LATITUDE: -19.3047 | LONGITUDE: 147.6201']	C	PH	G	NRSYON
