series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	timeCoverage	upperBound	lowerBound	basePeriod	source	geoInfoUrl	footnotes	Nature	Units	Age	Reporting Type
SH_STA_WASTEN	Children moderately or severely wasted (thousands)	704	Viet Nam	2000.0	440.33896	Float						Multiple indicator cluster survey Viet Nam, 2000. New York: UNICEF, 2004. Standard tables (and additional analysis).		['']	CA	NUM_TH	<5Y	G
SH_STA_WASTEN	Children moderately or severely wasted (thousands)	704	Viet Nam	2002.0	578.34915	Float						Annual national nutrition monitoring. Nutrition Surveillance Department. Hanoi, Vietnam: National Institute of Nutrition, 2009 (and additional analysis).		['']	CA	NUM_TH	<5Y	G
SH_STA_WASTEN	Children moderately or severely wasted (thousands)	704	Viet Nam	2003.0	711.64956	Float						Annual national nutrition monitoring. Nutrition Surveillance Department. Hanoi, Vietnam: National Institute of Nutrition, 2009 (and additional analysis).		['']	CA	NUM_TH	<5Y	G
SH_STA_WASTEN	Children moderately or severely wasted (thousands)	704	Viet Nam	2004.0	749.1596	Float						Annual national nutrition monitoring. Nutrition Surveillance Department. Hanoi, Vietnam: National Institute of Nutrition, 2009 (and additional analysis).		['']	CA	NUM_TH	<5Y	G
SH_STA_WASTEN	Children moderately or severely wasted (thousands)	704	Viet Nam	2005.0	716.58082	Float						Annual national nutrition monitoring. Nutrition Surveillance Department. Hanoi, Vietnam: National Institute of Nutrition, 2009 (and additional analysis).		['']	CA	NUM_TH	<5Y	G
SH_STA_WASTEN	Children moderately or severely wasted (thousands)	704	Viet Nam	2006.0	685.31018	Float						Annual national nutrition monitoring. Nutrition Surveillance Department. Hanoi, Vietnam: National Institute of Nutrition, 2009 (and additional analysis).		['']	CA	NUM_TH	<5Y	G
SH_STA_WASTEN	Children moderately or severely wasted (thousands)	704	Viet Nam	2007.0	711.48228	Float						Annual national nutrition monitoring. Nutrition Surveillance Department. Hanoi, Vietnam: National Institute of Nutrition, 2009 (and additional analysis).		['']	CA	NUM_TH	<5Y	G
SH_STA_WASTEN	Children moderately or severely wasted (thousands)	704	Viet Nam	2008.0	687.68393	Float						Annual national nutrition monitoring. Nutrition Surveillance Department. Hanoi, Vietnam: National Institute of Nutrition, 2009 (and additional analysis).		['']	CA	NUM_TH	<5Y	G
SH_STA_WASTEN	Children moderately or severely wasted (thousands)	704	Viet Nam	2010.0	296.96384	Float						Viet Nam multiple indicator cluster survey 2011 (MICS), final report. Ha Noi, Viet Nam, 2011 (and additional analysis).		['']	CA	NUM_TH	<5Y	G
SH_STA_WASTEN	Children moderately or severely wasted (thousands)	704	Viet Nam	2011.0	484.63853	Float						Nutrition surveillance profile 2011		['']	CA	NUM_TH	<5Y	G
SH_STA_WASTEN	Children moderately or severely wasted (thousands)	704	Viet Nam	2012.0	498.05361	Float						Nutrition Surveillance Profiles 2012. Ha Noi, Viet Nam, 2014.		['']	CA	NUM_TH	<5Y	G
SH_STA_WASTEN	Children moderately or severely wasted (thousands)	704	Viet Nam	2013.0	495.3692	Float						Nutrition surveillance profiles 2013. Hanoi, Viet Nam, 2014.		['']	CA	NUM_TH	<5Y	G
SH_STA_WASTEN	Children moderately or severely wasted (thousands)	704	Viet Nam	2014.0	514.88736	Float						Nutrition surveillance profiles 2014. Hanoi, Viet Nam, 2016.		['']	CA	NUM_TH	<5Y	G
SH_STA_WASTEN	Children moderately or severely wasted (thousands)	704	Viet Nam	2015.0	489.13734	Float						Nutrition surveillance profiles 2015. Hanoi, Viet Nam, 2017.		['']	CA	NUM_TH	<5Y	G
SH_STA_WASTEN	Children moderately or severely wasted (thousands)	704	Viet Nam	2017.0	449.14463	Float						Viet Nam National Nutrition Surveillance Network, 2017		['']	CA	NUM_TH	<5Y	G
