series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	timeCoverage	upperBound	lowerBound	basePeriod	source	geoInfoUrl	footnotes	Nature	Units	Reporting Type	Quantile
SI_COV_SOCAST	[World Bank] Proportion of population covered by social assistance programs (%)	152	Chile	2006.0	76.94377	Float						Ministerio de Planificacion		['Encuesta de Caracterizacion Socio-Economica Nacional (CASEN)']	CA	PERCENT	G	_T
SI_COV_SOCAST	[World Bank] Proportion of population covered by social assistance programs (%)	152	Chile	2006.0	94.36539	Float						Ministerio de Planificacion		['Encuesta de Caracterizacion Socio-Economica Nacional (CASEN)']	CA	PERCENT	G	Q1
SI_COV_SOCAST	[World Bank] Proportion of population covered by social assistance programs (%)	152	Chile	2009.0	93.3232	Float						Ministerio de Planificacion		['Encuesta de Caracterizacion Socio-Economica Nacional (CASEN)']	CA	PERCENT	G	Q1
SI_COV_SOCAST	[World Bank] Proportion of population covered by social assistance programs (%)	152	Chile	2009.0	77.89654	Float						Ministerio de Planificacion		['Encuesta de Caracterizacion Socio-Economica Nacional (CASEN)']	CA	PERCENT	G	_T
SI_COV_SOCAST	[World Bank] Proportion of population covered by social assistance programs (%)	152	Chile	2011.0	77.42602	Float						Universidad de Chile - Gobierno de Chile		['Encuesta de Caracterizacion Socioeconomica Nacional (CASEN)']	CA	PERCENT	G	_T
SI_COV_SOCAST	[World Bank] Proportion of population covered by social assistance programs (%)	152	Chile	2011.0	94.08615	Float						Universidad de Chile - Gobierno de Chile		['Encuesta de Caracterizacion Socioeconomica Nacional (CASEN)']	CA	PERCENT	G	Q1
SI_COV_SOCAST	[World Bank] Proportion of population covered by social assistance programs (%)	152	Chile	2013.0	92.95161	Float						Ministerio de Desarrollo Social - Gobierno de Chile		['Encuesta de Caracterización Socioeconómica Nacional (CASEN)']	CA	PERCENT	G	Q1
SI_COV_SOCAST	[World Bank] Proportion of population covered by social assistance programs (%)	152	Chile	2013.0	74.69486	Float						Ministerio de Desarrollo Social - Gobierno de Chile		['Encuesta de Caracterización Socioeconómica Nacional (CASEN)']	CA	PERCENT	G	_T
SI_COV_SOCAST	[World Bank] Proportion of population covered by social assistance programs (%)	152	Chile	2015.0	71.56242	Float						World Development Indicators database, World Bank		['Encuesta de Caracterización Socioeconómica Nacional (CASEN)']	CA	PERCENT	G	_T
SI_COV_SOCAST	[World Bank] Proportion of population covered by social assistance programs (%)	152	Chile	2015.0	89.33721	Float						World Development Indicators database, World Bank		['Encuesta de Caracterización Socioeconómica Nacional (CASEN)']	CA	PERCENT	G	Q1
