series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	timeCoverage	upperBound	lowerBound	basePeriod	source	geoInfoUrl	footnotes	Nature	Units	Observation Status	Age	Sex	Reporting Type
AG_PRD_FIESMSIN	Total population in moderate or severe food insecurity (thousands of people)	710	South Africa	2015.0	9555.81169	Float			10440.21184	8671.41153		Food and Agriculture Organisation of the United Nations (FAO), with data collected through the Gallup World Poll.		['The observation value represents the 3-year average of the period 2014-2016.']	G	NUM_TH	A	15+	FEMALE	G
AG_PRD_FIESMSIN	Total population in moderate or severe food insecurity (thousands of people)	710	South Africa	2015.0	7693.8473	Float			8509.21114	6878.48347		Food and Agriculture Organisation of the United Nations (FAO), with data collected through the Gallup World Poll.		['The observation value represents the 3-year average of the period 2014-2016.']	G	NUM_TH	A	15+	MALE	G
AG_PRD_FIESMSIN	Total population in moderate or severe food insecurity (thousands of people)	710	South Africa	2015.0	25094.52732	Float			26509.62049	23679.43415		Food and Agriculture Organisation of the United Nations (FAO), with data collected through the Gallup World Poll.		['The observation value represents the 3-year average of the period 2014-2016.']	G	NUM_TH	A	ALLAGE	BOTHSEX	G
AG_PRD_FIESMSIN	Total population in moderate or severe food insecurity (thousands of people)	710	South Africa	2016.0	27052.81982	Float			28510.12133	25595.5183		Food and Agriculture Organisation of the United Nations (FAO), with data collected through the Gallup World Poll.		['The value(s) for one or more years may have been imputed. The observation value represents the 3-year average of the period 2015-2017.']	G	NUM_TH	A	ALLAGE	BOTHSEX	G
AG_PRD_FIESMSIN	Total population in moderate or severe food insecurity (thousands of people)	710	South Africa	2016.0	8244.68731	Float			9096.00859	7393.36602		Food and Agriculture Organisation of the United Nations (FAO), with data collected through the Gallup World Poll.		['The value(s) for one or more years may have been imputed. The observation value represents the 3-year average of the period 2015-2017.']	G	NUM_TH	A	15+	MALE	G
AG_PRD_FIESMSIN	Total population in moderate or severe food insecurity (thousands of people)	710	South Africa	2016.0	10489.01641	Float			11379.11756	9598.91525		Food and Agriculture Organisation of the United Nations (FAO), with data collected through the Gallup World Poll.		['The value(s) for one or more years may have been imputed. The observation value represents the 3-year average of the period 2015-2017.']	G	NUM_TH	A	15+	FEMALE	G
AG_PRD_FIESMSIN	Total population in moderate or severe food insecurity (thousands of people)	710	South Africa	2017.0	11321.42727	Float			12215.83443	10427.02011		Food and Agriculture Organisation of the United Nations (FAO), with data collected through the Gallup World Poll.		['The value(s) for one or more years may have been imputed. The observation value represents the 3-year average of the period 2016-2018.']	G	NUM_TH	A	15+	FEMALE	G
AG_PRD_FIESMSIN	Total population in moderate or severe food insecurity (thousands of people)	710	South Africa	2017.0	8896.53599	Float			9759.229	8033.84299		Food and Agriculture Organisation of the United Nations (FAO), with data collected through the Gallup World Poll.		['The value(s) for one or more years may have been imputed. The observation value represents the 3-year average of the period 2016-2018.']	G	NUM_TH	A	15+	MALE	G
AG_PRD_FIESMSIN	Total population in moderate or severe food insecurity (thousands of people)	710	South Africa	2017.0	28965.63135	Float			30422.34672	27508.91598		Food and Agriculture Organisation of the United Nations (FAO), with data collected through the Gallup World Poll.		['The value(s) for one or more years may have been imputed. The observation value represents the 3-year average of the period 2016-2018.']	G	NUM_TH	A	ALLAGE	BOTHSEX	G
