series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	timeCoverage	upperBound	lowerBound	basePeriod	source	geoInfoUrl	footnotes	Nature	Units	Sex	Reporting Type	Disability status
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	578	Norway	2012.0	2	Float						HS - European Health and Social Integration Survey		['Repository: ILO calculations based on Eurostat data | Population coverage: Excluding institutional population']	C	PERCENT	BOTHSEX	G	_T
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	578	Norway	2012.0	8	Float						HS - European Health and Social Integration Survey		['Repository: ILO calculations based on Eurostat data | Population coverage: Excluding institutional population']	C	PERCENT	MALE	G	PD
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	578	Norway	2012.0	2	Float						HS - European Health and Social Integration Survey		['Repository: ILO calculations based on Eurostat data | Population coverage: Excluding institutional population']	C	PERCENT	FEMALE	G	_T
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	578	Norway	2012.0	2	Float						HS - European Health and Social Integration Survey		['Repository: ILO calculations based on Eurostat data | Population coverage: Excluding institutional population']	C	PERCENT	MALE	G	PWD
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	578	Norway	2012.0	1	Float						HS - European Health and Social Integration Survey		['Repository: ILO calculations based on Eurostat data | Population coverage: Excluding institutional population']	C	PERCENT	FEMALE	G	PWD
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	578	Norway	2012.0	6	Float						HS - European Health and Social Integration Survey		['Repository: ILO calculations based on Eurostat data | Population coverage: Excluding institutional population']	C	PERCENT	FEMALE	G	PD
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	578	Norway	2012.0	2	Float						HS - European Health and Social Integration Survey		['Repository: ILO calculations based on Eurostat data | Population coverage: Excluding institutional population']	C	PERCENT	MALE	G	_T
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	578	Norway	2012.0	2	Float						HS - European Health and Social Integration Survey		['Repository: ILO calculations based on Eurostat data | Population coverage: Excluding institutional population']	C	PERCENT	BOTHSEX	G	PWD
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	578	Norway	2012.0	7	Float						HS - European Health and Social Integration Survey		['Repository: ILO calculations based on Eurostat data | Population coverage: Excluding institutional population']	C	PERCENT	BOTHSEX	G	PD
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	578	Norway	2015.0	4.5	Float						LFS - Labour force survey		['Age coverage - maximum age: 66 years old']	C	PERCENT	BOTHSEX	G	_T
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	578	Norway	2015.0	5.5	Float						LFS - Labour force survey		['Age coverage - maximum age: 66 years old']	C	PERCENT	BOTHSEX	G	PD
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	578	Norway	2015.0	4	Float						LFS - Labour force survey		['Age coverage - maximum age: 66 years old']	C	PERCENT	FEMALE	G	PWD
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	578	Norway	2015.0	4.9	Float						LFS - Labour force survey		['Age coverage - maximum age: 66 years old']	C	PERCENT	MALE	G	_T
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	578	Norway	2015.0	4.3	Float						LFS - Labour force survey		['Age coverage - maximum age: 66 years old']	C	PERCENT	BOTHSEX	G	PWD
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	578	Norway	2015.0	4.6	Float						LFS - Labour force survey		['Age coverage - maximum age: 66 years old']	C	PERCENT	MALE	G	PWD
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	578	Norway	2015.0	7.7	Float						LFS - Labour force survey		['Age coverage - maximum age: 66 years old']	C	PERCENT	MALE	G	PD
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	578	Norway	2015.0	3.5	Float						LFS - Labour force survey		['Age coverage - maximum age: 66 years old']	C	PERCENT	FEMALE	G	PD
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	578	Norway	2015.0	3.9	Float						LFS - Labour force survey		['Age coverage - maximum age: 66 years old']	C	PERCENT	FEMALE	G	_T
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	578	Norway	2016.0	4.9	Float						LFS - Labour force survey		['Age coverage - maximum age: 66 years old']	C	PERCENT	BOTHSEX	G	_T
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	578	Norway	2016.0	3.7	Float						LFS - Labour force survey		['Age coverage - maximum age: 66 years old']	C	PERCENT	BOTHSEX	G	PWD
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	578	Norway	2016.0	6	Float						LFS - Labour force survey		['Age coverage - maximum age: 66 years old']	C	PERCENT	BOTHSEX	G	PD
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	578	Norway	2016.0	11.1	Float						LFS - Labour force survey		['Age coverage - maximum age: 66 years old']	C	PERCENT	MALE	G	PD
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	578	Norway	2016.0	8.1	Float						LFS - Labour force survey		['Age coverage - maximum age: 66 years old']	C	PERCENT	MALE	G	_T
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	578	Norway	2016.0	4.5	Float						LFS - Labour force survey		['Age coverage - maximum age: 66 years old']	C	PERCENT	FEMALE	G	_T
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	578	Norway	2016.0	4.9	Float						LFS - Labour force survey		['Age coverage - maximum age: 66 years old']	C	PERCENT	MALE	G	PWD
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	578	Norway	2016.0	3.5	Float						LFS - Labour force survey		['Age coverage - maximum age: 66 years old']	C	PERCENT	FEMALE	G	PWD
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	578	Norway	2016.0	5.3	Float						LFS - Labour force survey		['Age coverage - maximum age: 66 years old']	C	PERCENT	FEMALE	G	PD
