series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	timeCoverage	upperBound	lowerBound	basePeriod	source	geoInfoUrl	footnotes	Nature	Units	Location	Sex	Age	Reporting Type
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	620	Portugal	2015.0	13.69375	Float						Statistics Portugal based on National Survey on Time Use by Men and Women		['']	C	PERCENT	ALLAREA	FEMALE	45-54	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	620	Portugal	2015.0	12.51958	Float						Statistics Portugal based on National Survey on Time Use by Men and Women		['']	C	PERCENT	ALLAREA	FEMALE	15+	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	620	Portugal	2015.0	4.5275	Float						Statistics Portugal based on National Survey on Time Use by Men and Women		['']	C	PERCENT	ALLAREA	MALE	15-24	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	620	Portugal	2015.0	8.63792	Float						Statistics Portugal based on National Survey on Time Use by Men and Women		['']	C	PERCENT	ALLAREA	FEMALE	15-24	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	620	Portugal	2015.0	12.64708	Float						Statistics Portugal based on National Survey on Time Use by Men and Women		['']	C	PERCENT	ALLAREA	FEMALE	25-44	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	620	Portugal	2015.0	7.29792	Float						Statistics Portugal based on National Survey on Time Use by Men and Women		['']	C	PERCENT	ALLAREA	MALE	15+	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	620	Portugal	2015.0	7.12583	Float						Statistics Portugal based on National Survey on Time Use by Men and Women		['']	C	PERCENT	ALLAREA	MALE	25-44	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	620	Portugal	2015.0	8.08417	Float						Statistics Portugal based on National Survey on Time Use by Men and Women		['']	C	PERCENT	ALLAREA	MALE	65+	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	620	Portugal	2015.0	12.0475	Float						Statistics Portugal based on National Survey on Time Use by Men and Women		['']	C	PERCENT	ALLAREA	FEMALE	65+	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	620	Portugal	2015.0	8.47875	Float						Statistics Portugal based on National Survey on Time Use by Men and Women		['']	C	PERCENT	ALLAREA	MALE	55-64	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	620	Portugal	2015.0	7.50583	Float						Statistics Portugal based on National Survey on Time Use by Men and Women		['']	C	PERCENT	ALLAREA	MALE	45-54	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	620	Portugal	2015.0	14.19167	Float						Statistics Portugal based on National Survey on Time Use by Men and Women		['']	C	PERCENT	ALLAREA	FEMALE	55-64	G
