series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	timeCoverage	upperBound	lowerBound	basePeriod	source	geoInfoUrl	footnotes	Nature	Units	Reporting Type	Cities
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	484	Mexico	2001.0	85	Float						United Nations Human Settlements Programme (UN-Habitat)		['Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.']	C	PERCENT	G	ACUNACOAHUILA
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	484	Mexico	2001.0	85	Float						United Nations Human Settlements Programme (UN-Habitat)		['Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.']	C	PERCENT	G	ALTAMIRA_TAMAULIPAS
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	484	Mexico	2001.0	90	Float						United Nations Human Settlements Programme (UN-Habitat)		['Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.']	C	PERCENT	G	AGUASCALIENTES
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	484	Mexico	2001.0	85	Float						United Nations Human Settlements Programme (UN-Habitat)		['Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.']	C	PERCENT	G	CHALCOMEX
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	484	Mexico	2001.0	85	Float						United Nations Human Settlements Programme (UN-Habitat)		['Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.']	C	PERCENT	G	ACAPULCO_GUERRERO
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	484	Mexico	2001.0	80	Float						United Nations Human Settlements Programme (UN-Habitat)		['Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.']	C	PERCENT	G	CHETUMAL_OTHONP_BLANCO_QUINTANAROO
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	484	Mexico	2001.0	85	Float						United Nations Human Settlements Programme (UN-Habitat)		['Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.']	C	PERCENT	G	CHILPANCINGO_GUERRERO
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	484	Mexico	2001.0	85	Float						United Nations Human Settlements Programme (UN-Habitat)		['Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.']	C	PERCENT	G	HIDALGO_MICHOACAN
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	484	Mexico	2001.0	95	Float						United Nations Human Settlements Programme (UN-Habitat)		['Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.']	C	PERCENT	G	CELAYA_GUANAJUATO
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	484	Mexico	2001.0	85	Float						United Nations Human Settlements Programme (UN-Habitat)		['Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.']	C	PERCENT	G	CARMEN_CAMPECHE
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	484	Mexico	2001.0	80	Float						United Nations Human Settlements Programme (UN-Habitat)		['Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.']	C	PERCENT	G	CARDENAST_TABASCO
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	484	Mexico	2001.0	90	Float						United Nations Human Settlements Programme (UN-Habitat)		['Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.']	C	PERCENT	G	CANCUN
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	484	Mexico	2001.0	80	Float						United Nations Human Settlements Programme (UN-Habitat)		['Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.']	C	PERCENT	G	CAMPECHE_CAMPECHE
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	484	Mexico	2001.0	85	Float						United Nations Human Settlements Programme (UN-Habitat)		['Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.']	C	PERCENT	G	APATZINGAN_MICHOACAN
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	484	Mexico	2001.0	85	Float						United Nations Human Settlements Programme (UN-Habitat)		['Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.']	C	PERCENT	G	HUIXQUILUCAN_MEXICO
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	484	Mexico	2001.0	100	Float						United Nations Human Settlements Programme (UN-Habitat)		['Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.']	C	PERCENT	G	HERMOSILLO_SONORA
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	484	Mexico	2001.0	85	Float						United Nations Human Settlements Programme (UN-Habitat)		['Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.']	C	PERCENT	G	GUAYMAS_SONORA
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	484	Mexico	2001.0	85	Float						United Nations Human Settlements Programme (UN-Habitat)		['Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.']	C	PERCENT	G	GUASAVE_SINALOA
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	484	Mexico	2001.0	90	Float						United Nations Human Settlements Programme (UN-Habitat)		['Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.']	C	PERCENT	G	GUANAJUATO_GUANAJUATO
