series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	timeCoverage	upperBound	lowerBound	basePeriod	source	geoInfoUrl	footnotes	Nature	Units	Sex	Type of occupation	Reporting Type
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	68	Bolivia (Plurinational State of)	2009.0	10.7	Float						HIES - Household Survey		['Repository: SEDLAC (CEDLAS and The World Bank) | Local currency: BOL - Bolivian(BOB)']	C	CUR_LCU	BOTHSEX	isco08	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	68	Bolivia (Plurinational State of)	2009.0	10.1	Float						HIES - Household Survey		['Repository: SEDLAC (CEDLAS and The World Bank) | Local currency: BOL - Bolivian(BOB)']	C	CUR_LCU	FEMALE	isco08	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	68	Bolivia (Plurinational State of)	2009.0	11.1	Float						HIES - Household Survey		['Repository: SEDLAC (CEDLAS and The World Bank) | Local currency: BOL - Bolivian(BOB)']	C	CUR_LCU	MALE	isco08	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	68	Bolivia (Plurinational State of)	2011.0	13.2	Float						HIES - Household Survey		['Repository: SEDLAC (CEDLAS and The World Bank) | Local currency: BOL - Bolivian(BOB)']	C	CUR_LCU	BOTHSEX	isco08	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	68	Bolivia (Plurinational State of)	2011.0	12.3	Float						HIES - Household Survey		['Repository: SEDLAC (CEDLAS and The World Bank) | Local currency: BOL - Bolivian(BOB)']	C	CUR_LCU	FEMALE	isco08	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	68	Bolivia (Plurinational State of)	2011.0	13.7	Float						HIES - Household Survey		['Repository: SEDLAC (CEDLAS and The World Bank) | Local currency: BOL - Bolivian(BOB)']	C	CUR_LCU	MALE	isco08	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	68	Bolivia (Plurinational State of)	2012.0	14.1	Float						HIES - Household Survey		['Repository: SEDLAC (CEDLAS and The World Bank) | Local currency: BOL - Bolivian(BOB)']	C	CUR_LCU	BOTHSEX	isco08	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	68	Bolivia (Plurinational State of)	2012.0	14.8	Float						HIES - Household Survey		['Repository: SEDLAC (CEDLAS and The World Bank) | Local currency: BOL - Bolivian(BOB)']	C	CUR_LCU	MALE	isco08	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	68	Bolivia (Plurinational State of)	2012.0	13.2	Float						HIES - Household Survey		['Repository: SEDLAC (CEDLAS and The World Bank) | Local currency: BOL - Bolivian(BOB)']	C	CUR_LCU	FEMALE	isco08	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	68	Bolivia (Plurinational State of)	2013.0	16.5	Float						HIES - Household Survey		['Repository: SEDLAC (CEDLAS and The World Bank) | Local currency: BOL - Bolivian(BOB)']	C	CUR_LCU	BOTHSEX	isco08	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	68	Bolivia (Plurinational State of)	2013.0	15.2	Float						HIES - Household Survey		['Repository: SEDLAC (CEDLAS and The World Bank) | Local currency: BOL - Bolivian(BOB)']	C	CUR_LCU	FEMALE	isco08	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	68	Bolivia (Plurinational State of)	2013.0	17.3	Float						HIES - Household Survey		['Repository: SEDLAC (CEDLAS and The World Bank) | Local currency: BOL - Bolivian(BOB)']	C	CUR_LCU	MALE	isco08	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	68	Bolivia (Plurinational State of)	2014.0	17.4	Float						HIES - Household Survey		['Repository: SEDLAC (CEDLAS and The World Bank) | Local currency: BOL - Bolivian(BOB)']	C	CUR_LCU	BOTHSEX	isco08	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	68	Bolivia (Plurinational State of)	2014.0	16.7	Float						HIES - Household Survey		['Repository: SEDLAC (CEDLAS and The World Bank) | Local currency: BOL - Bolivian(BOB)']	C	CUR_LCU	FEMALE	isco08	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	68	Bolivia (Plurinational State of)	2014.0	17.8	Float						HIES - Household Survey		['Repository: SEDLAC (CEDLAS and The World Bank) | Local currency: BOL - Bolivian(BOB)']	C	CUR_LCU	MALE	isco08	G
