series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	timeCoverage	upperBound	lowerBound	basePeriod	source	geoInfoUrl	footnotes	Nature	Units	Reporting Type	Quantile
SI_COV_LMKT	[World Bank] Proportion of population covered by labour market programs (%)	112	Belarus	2008.0	2.16785	Float						National Statistical Committee of the Republic of Belarus		['Household Sample Survey']	CA	PERCENT	G	Q1
SI_COV_LMKT	[World Bank] Proportion of population covered by labour market programs (%)	112	Belarus	2008.0	0.95735	Float						National Statistical Committee of the Republic of Belarus		['Household Sample Survey']	CA	PERCENT	G	_T
SI_COV_LMKT	[World Bank] Proportion of population covered by labour market programs (%)	112	Belarus	2009.0	1.16548	Float						National Statistical Committee of the Republic of Belarus		['Household Sample Survey']	CA	PERCENT	G	_T
SI_COV_LMKT	[World Bank] Proportion of population covered by labour market programs (%)	112	Belarus	2009.0	2.33606	Float						National Statistical Committee of the Republic of Belarus		['Household Sample Survey']	CA	PERCENT	G	Q1
SI_COV_LMKT	[World Bank] Proportion of population covered by labour market programs (%)	112	Belarus	2010.0	2.27473	Float						National Statistical Committee of the Republic of Belarus		['Household Sample Survey']	CA	PERCENT	G	Q1
SI_COV_LMKT	[World Bank] Proportion of population covered by labour market programs (%)	112	Belarus	2010.0	0.93436	Float						National Statistical Committee of the Republic of Belarus		['Household Sample Survey']	CA	PERCENT	G	_T
SI_COV_LMKT	[World Bank] Proportion of population covered by labour market programs (%)	112	Belarus	2012.0	0.55285	Float						National Statistical Committee of the Republic of Belarus		['Household Sample Survey ']	CA	PERCENT	G	_T
SI_COV_LMKT	[World Bank] Proportion of population covered by labour market programs (%)	112	Belarus	2012.0	0.60336	Float						National Statistical Committee of the Republic of Belarus		['Household Sample Survey ']	CA	PERCENT	G	Q1
SI_COV_LMKT	[World Bank] Proportion of population covered by labour market programs (%)	112	Belarus	2015.0	2.82066	Float						National Statistical Committee of the Republic of Belarus		['Household Sample Survey ']	CA	PERCENT	G	Q1
SI_COV_LMKT	[World Bank] Proportion of population covered by labour market programs (%)	112	Belarus	2015.0	1.12192	Float						National Statistical Committee of the Republic of Belarus		['Household Sample Survey ']	CA	PERCENT	G	_T
SI_COV_LMKT	[World Bank] Proportion of population covered by labour market programs (%)	112	Belarus	2016.0	1.11034	Float						National Statistical Committee of the Republic of Belarus		['Household Sample Survey ']	CA	PERCENT	G	_T
SI_COV_LMKT	[World Bank] Proportion of population covered by labour market programs (%)	112	Belarus	2016.0	1.97855	Float						National Statistical Committee of the Republic of Belarus		['Household Sample Survey ']	CA	PERCENT	G	Q1
