series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	timeCoverage	upperBound	lowerBound	basePeriod	source	geoInfoUrl	footnotes	Nature	Units	Age	Sex	Reporting Type
FB_BNK_ACCSS	Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)	752	Sweden	2011.0	99.01	Float						Global Financial Inclusion Database, World Bank.		['']	G	PERCENT	15+	FEMALE	G
FB_BNK_ACCSS	Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)	752	Sweden	2011.0	98.99	Float						Global Financial Inclusion Database, World Bank.		['']	G	PERCENT	15+	BOTHSEX	G
FB_BNK_ACCSS	Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)	752	Sweden	2011.0	98.97	Float						Global Financial Inclusion Database, World Bank.		['']	G	PERCENT	15+	MALE	G
FB_BNK_ACCSS	Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)	752	Sweden	2014.0	99.68	Float						Global Financial Inclusion Database, World Bank.		['']	G	PERCENT	15+	MALE	G
FB_BNK_ACCSS	Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)	752	Sweden	2014.0	99.72	Float						Global Financial Inclusion Database, World Bank.		['']	G	PERCENT	15+	BOTHSEX	G
FB_BNK_ACCSS	Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)	752	Sweden	2014.0	99.76	Float						Global Financial Inclusion Database, World Bank.		['']	G	PERCENT	15+	FEMALE	G
FB_BNK_ACCSS	Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)	752	Sweden	2017.0	100.00	Float						Global Financial Inclusion Database, World Bank.		['']	G	PERCENT	15+	FEMALE	G
FB_BNK_ACCSS	Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)	752	Sweden	2017.0	99.74	Float						Global Financial Inclusion Database, World Bank.		['']	G	PERCENT	15+	BOTHSEX	G
FB_BNK_ACCSS	Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)	752	Sweden	2017.0	99.48	Float						Global Financial Inclusion Database, World Bank.		['']	G	PERCENT	15+	MALE	G
