series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	timeCoverage	upperBound	lowerBound	basePeriod	source	geoInfoUrl	footnotes	Nature	Units	Sex	Type of occupation	Reporting Type
SH_MED_HWRKDIS	Health worker distribution, by sex and type of occupation (%)	620	Portugal	2000.0	54.4	Float						Global Health Workforce Statistics database, Global Health Observatory, WHO .  Available at http://www.who.int/hrh/statistics/hwfstats/en/. For the specific sources and metadata by country, refer to database directly.		['']	C	PERCENT	MALE	PHYS	G
SH_MED_HWRKDIS	Health worker distribution, by sex and type of occupation (%)	620	Portugal	2000.0	45.6	Float						Global Health Workforce Statistics database, Global Health Observatory, WHO .  Available at http://www.who.int/hrh/statistics/hwfstats/en/. For the specific sources and metadata by country, refer to database directly.		['']	C	PERCENT	FEMALE	PHYS	G
SH_MED_HWRKDIS	Health worker distribution, by sex and type of occupation (%)	620	Portugal	2001.0	46.1	Float						Global Health Workforce Statistics database, Global Health Observatory, WHO .  Available at http://www.who.int/hrh/statistics/hwfstats/en/. For the specific sources and metadata by country, refer to database directly.		['']	C	PERCENT	FEMALE	PHYS	G
SH_MED_HWRKDIS	Health worker distribution, by sex and type of occupation (%)	620	Portugal	2001.0	53.9	Float						Global Health Workforce Statistics database, Global Health Observatory, WHO .  Available at http://www.who.int/hrh/statistics/hwfstats/en/. For the specific sources and metadata by country, refer to database directly.		['']	C	PERCENT	MALE	PHYS	G
SH_MED_HWRKDIS	Health worker distribution, by sex and type of occupation (%)	620	Portugal	2002.0	53.6	Float						Global Health Workforce Statistics database, Global Health Observatory, WHO .  Available at http://www.who.int/hrh/statistics/hwfstats/en/. For the specific sources and metadata by country, refer to database directly.		['']	C	PERCENT	MALE	PHYS	G
SH_MED_HWRKDIS	Health worker distribution, by sex and type of occupation (%)	620	Portugal	2002.0	46.4	Float						Global Health Workforce Statistics database, Global Health Observatory, WHO .  Available at http://www.who.int/hrh/statistics/hwfstats/en/. For the specific sources and metadata by country, refer to database directly.		['']	C	PERCENT	FEMALE	PHYS	G
SH_MED_HWRKDIS	Health worker distribution, by sex and type of occupation (%)	620	Portugal	2003.0	47	Float						Global Health Workforce Statistics database, Global Health Observatory, WHO .  Available at http://www.who.int/hrh/statistics/hwfstats/en/. For the specific sources and metadata by country, refer to database directly.		['']	C	PERCENT	FEMALE	PHYS	G
SH_MED_HWRKDIS	Health worker distribution, by sex and type of occupation (%)	620	Portugal	2003.0	53	Float						Global Health Workforce Statistics database, Global Health Observatory, WHO .  Available at http://www.who.int/hrh/statistics/hwfstats/en/. For the specific sources and metadata by country, refer to database directly.		['']	C	PERCENT	MALE	PHYS	G
SH_MED_HWRKDIS	Health worker distribution, by sex and type of occupation (%)	620	Portugal	2004.0	52.6	Float						Global Health Workforce Statistics database, Global Health Observatory, WHO .  Available at http://www.who.int/hrh/statistics/hwfstats/en/. For the specific sources and metadata by country, refer to database directly.		['']	C	PERCENT	MALE	PHYS	G
SH_MED_HWRKDIS	Health worker distribution, by sex and type of occupation (%)	620	Portugal	2004.0	47.4	Float						Global Health Workforce Statistics database, Global Health Observatory, WHO .  Available at http://www.who.int/hrh/statistics/hwfstats/en/. For the specific sources and metadata by country, refer to database directly.		['']	C	PERCENT	FEMALE	PHYS	G
SH_MED_HWRKDIS	Health worker distribution, by sex and type of occupation (%)	620	Portugal	2005.0	52.2	Float						Global Health Workforce Statistics database, Global Health Observatory, WHO .  Available at http://www.who.int/hrh/statistics/hwfstats/en/. For the specific sources and metadata by country, refer to database directly.		['']	C	PERCENT	MALE	PHYS	G
SH_MED_HWRKDIS	Health worker distribution, by sex and type of occupation (%)	620	Portugal	2005.0	47.8	Float						Global Health Workforce Statistics database, Global Health Observatory, WHO .  Available at http://www.who.int/hrh/statistics/hwfstats/en/. For the specific sources and metadata by country, refer to database directly.		['']	C	PERCENT	FEMALE	PHYS	G
