series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	timeCoverage	upperBound	lowerBound	basePeriod	source	geoInfoUrl	footnotes	Nature	Units	Sex	Disability status	Reporting Type
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	818	Egypt	2016.0	19.61	Float						LFS - Labour force sample survey		['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	BOTHSEX	PD	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	818	Egypt	2016.0	12.41	Float						LFS - Labour force sample survey		['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	BOTHSEX	_T	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	818	Egypt	2016.0	12.32	Float						LFS - Labour force sample survey		['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	BOTHSEX	PWD	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	818	Egypt	2016.0	19.41	Float						LFS - Labour force sample survey		['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	MALE	PD	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	818	Egypt	2016.0	8.69	Float						LFS - Labour force sample survey		['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	MALE	PWD	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	818	Egypt	2016.0	8.84	Float						LFS - Labour force sample survey		['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	MALE	_T	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	818	Egypt	2016.0	23.58	Float						LFS - Labour force sample survey		['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	FEMALE	_T	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	818	Egypt	2016.0	21.23	Float						LFS - Labour force sample survey		['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	FEMALE	PD	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	818	Egypt	2016.0	23.59	Float						LFS - Labour force sample survey		['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	FEMALE	PWD	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	818	Egypt	2017.0	11.74	Float						LFS - Labour force sample survey		['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	BOTHSEX	_T	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	818	Egypt	2017.0	14.2	Float						LFS - Labour force sample survey		['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	BOTHSEX	PD	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	818	Egypt	2017.0	23.08	Float						LFS - Labour force sample survey		['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	FEMALE	PWD	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	818	Egypt	2017.0	15.1	Float						LFS - Labour force sample survey		['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	MALE	PD	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	818	Egypt	2017.0	11.72	Float						LFS - Labour force sample survey		['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	BOTHSEX	PWD	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	818	Egypt	2017.0	8.22	Float						LFS - Labour force sample survey		['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	MALE	_T	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	818	Egypt	2017.0	8.17	Float						LFS - Labour force sample survey		['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	MALE	PWD	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	818	Egypt	2017.0	23	Float						LFS - Labour force sample survey		['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	FEMALE	_T	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	818	Egypt	2017.0	10.63	Float						LFS - Labour force sample survey		['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	FEMALE	PD	G
