series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	timeCoverage	upperBound	lowerBound	basePeriod	source	geoInfoUrl	footnotes	Nature	Units	Education level	Reporting Type
SE_ACC_ELEC	Schools with access to electricity, by education level (%)	202	Sub-Saharan Africa	2014.0	55.3314553452058	Float						UIS		['']	E	PERCENT	UPPSEC	G
SE_ACC_ELEC	Schools with access to electricity, by education level (%)	202	Sub-Saharan Africa	2015.0	47.2917283705704	Float						UIS		['']	E	PERCENT	LOWSEC	G
SE_ACC_ELEC	Schools with access to electricity, by education level (%)	202	Sub-Saharan Africa	2015.0	56.229489848636	Float						UIS		['']	E	PERCENT	UPPSEC	G
SE_ACC_ELEC	Schools with access to electricity, by education level (%)	202	Sub-Saharan Africa	2015.0	30.7746650903019	Float						UIS		['']	E	PERCENT	PRIMAR	G
SE_ACC_ELEC	Schools with access to electricity, by education level (%)	202	Sub-Saharan Africa	2016.0	31.7148256177037	Float						UIS		['']	E	PERCENT	PRIMAR	G
SE_ACC_ELEC	Schools with access to electricity, by education level (%)	202	Sub-Saharan Africa	2016.0	57.2335494544517	Float						UIS		['']	E	PERCENT	UPPSEC	G
SE_ACC_ELEC	Schools with access to electricity, by education level (%)	202	Sub-Saharan Africa	2016.0	47.4753975689663	Float						UIS		['']	E	PERCENT	LOWSEC	G
SE_ACC_ELEC	Schools with access to electricity, by education level (%)	202	Sub-Saharan Africa	2017.0	47.2025738021005	Float						UIS		['']	E	PERCENT	LOWSEC	G
SE_ACC_ELEC	Schools with access to electricity, by education level (%)	202	Sub-Saharan Africa	2017.0	32.4771991102609	Float						UIS		['']	E	PERCENT	PRIMAR	G
SE_ACC_ELEC	Schools with access to electricity, by education level (%)	202	Sub-Saharan Africa	2018.0	47.0441181059277	Float						UIS		['']	E	PERCENT	LOWSEC	G
SE_ACC_ELEC	Schools with access to electricity, by education level (%)	202	Sub-Saharan Africa	2018.0	33.8306488683116	Float						UIS		['']	E	PERCENT	PRIMAR	G
