goal_code	goal_labelEN	goal_descEN	target_code	target_descEN	indicator_code	indicator_reference	indicator_descEN	series_release	series_tags	series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	typeOfWasteTreatment_code	typeOfWasteTreatment_desc	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2000	value_2001	value_2002	value_2003	value_2004	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
12	Goal 12	Ensure sustainable consumption and production patterns	12.4	By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment	C120402	12.4.2	(a) Hazardous waste generated per capita; and (b) proportion of hazardous waste treated, by type of treatment	2020.Q1.G.02	['hazardous wastes']	EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1			WT_LANDFIL	Landfilling	[2004, 2006, 2008, 2010, 2012, 2014, 2016]	2004	2016	7	T	Tonnes	G	Global					11981941.0		13302797.0		12846297.0		13501203.0		13157860.0		11853969.0		38190.0		38190.0			[2004,2006]: Estimated value.	UNSTATS / Environment Live		C: Country data
12	Goal 12	Ensure sustainable consumption and production patterns	12.4	By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment	C120402	12.4.2	(a) Hazardous waste generated per capita; and (b) proportion of hazardous waste treated, by type of treatment	2020.Q1.G.02	['hazardous wastes']	EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1			WT_INCINRT	Incineration	[2004, 2006, 2008, 2010, 2012, 2014, 2016]	2004	2016	7	T	Tonnes	G	Global					44984.0		81641.0		49759.0		1762.0		5352.0		7171.0		5259.0		5259.0				UNSTATS / Environment Live		C: Country data
12	Goal 12	Ensure sustainable consumption and production patterns	12.4	By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment	C120402	12.4.2	(a) Hazardous waste generated per capita; and (b) proportion of hazardous waste treated, by type of treatment	2020.Q1.G.02	['hazardous wastes']	EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1			WT_RECYCL	Recycling	[2010, 2012, 2014, 2016]	2010	2016	4	T	Tonnes	G	Global											58195.0		61337.0		151901.0		112277.0		112277.0				UNSTATS / Environment Live		C: Country data
12	Goal 12	Ensure sustainable consumption and production patterns	12.4	By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment	C120402	12.4.2	(a) Hazardous waste generated per capita; and (b) proportion of hazardous waste treated, by type of treatment	2020.Q1.G.02	['hazardous wastes']	EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1			WT_INCINRT	Incineration	[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2001	2017	17	T	Tonnes	G	Global		21954.0	8382.0	12171.0	10300.0	50163.0	54194.328125	41349.359375	39626.980469	34615.710938	46000.0	57230.121094	29050.439453	21244.470703	59290.21875	24500.970703	33810.0	49810.0	49810.0			[2004-2017]: Includes data on disposal and / or use of previously accumulated production waste. It also includes the export of production waste.	UNSTATS / Environment Live		C: Country data
12	Goal 12	Ensure sustainable consumption and production patterns	12.4	By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment	C120402	12.4.2	(a) Hazardous waste generated per capita; and (b) proportion of hazardous waste treated, by type of treatment	2020.Q1.G.02	['hazardous wastes']	EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1			WT_RECYCL	Recycling	[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2001	2017	17	T	Tonnes	G	Global		14167.0	17412.0	23815.0	54700.0	227357.0	252869.46875	344168.1875	437105.875	675189.625	774900.0	827656.8125	1324327.75	1091670.25	1242204.75	889779.25	1201580.0	1047870.0	1047870.0			[2004-2017]: Includes data on disposal and / or use of previously accumulated production waste. It also includes the export of production waste.	UNSTATS / Environment Live		C: Country data
12	Goal 12	Ensure sustainable consumption and production patterns	12.4	By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment	C120402	12.4.2	(a) Hazardous waste generated per capita; and (b) proportion of hazardous waste treated, by type of treatment	2020.Q1.G.02	['hazardous wastes']	EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1			WT_LANDFIL	Landfilling	[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2001	2017	17	T	Tonnes	G	Global		51001.0	54358.0	63477.0	72700.0	19161.0	16826.669922	34284.859375	61295.609375	99987.109375	136600.0	83656.796875	123682.890625	124725.71875	153561.84375	99282.84375	115960.0	110730.0	110730.0			[2004-2017]: Includes data on disposal and / or use of previously accumulated production waste. It also includes the export of production waste.	UNSTATS / Environment Live		C: Country data
12	Goal 12	Ensure sustainable consumption and production patterns	12.4	By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment	C120402	12.4.2	(a) Hazardous waste generated per capita; and (b) proportion of hazardous waste treated, by type of treatment	2020.Q1.G.02	['hazardous wastes']	EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1			WT_INCINRT	Incineration	[2004, 2005, 2006, 2007, 2008, 2009]	2004	2009	6	T	Tonnes	G	Global					202.199997	369.5	311.100006	299.799988	355.0	1148.199951									1148.199951				UNSTATS / Environment Live		C: Country data
12	Goal 12	Ensure sustainable consumption and production patterns	12.4	By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment	C120402	12.4.2	(a) Hazardous waste generated per capita; and (b) proportion of hazardous waste treated, by type of treatment	2020.Q1.G.02	['hazardous wastes']	EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1			WT_LANDFIL	Landfilling	[2004, 2005, 2006, 2007, 2008, 2009]	2004	2009	6	T	Tonnes	G	Global					5307.0	9046.0	9675.0	7492.0	8663.0	7133.0									7133.0				UNSTATS / Environment Live		C: Country data
12	Goal 12	Ensure sustainable consumption and production patterns	12.4	By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment	C120402	12.4.2	(a) Hazardous waste generated per capita; and (b) proportion of hazardous waste treated, by type of treatment	2020.Q1.G.02	['hazardous wastes']	EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1			WT_RECYCL	Recycling	[2004, 2005, 2006, 2007, 2008, 2009]	2004	2009	6	T	Tonnes	G	Global					206.300003	14.3	357.799988	410.799988	365.299988	434.399994									434.399994				UNSTATS / Environment Live		C: Country data
12	Goal 12	Ensure sustainable consumption and production patterns	12.4	By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment	C120402	12.4.2	(a) Hazardous waste generated per capita; and (b) proportion of hazardous waste treated, by type of treatment	2020.Q1.G.02	['hazardous wastes']	EN_HAZ_TREATV	Hazardous waste treated, by type of treatment (Tonnes)	191	Croatia	4	39	Southern Europe	Country	17.95874553	45.45172212	HRV	1	1			WT_LANDFIL	Landfilling	[2004, 2006, 2008, 2010, 2012, 2014, 2016]	2004	2016	7	T	Tonnes	G	Global					10661.0		560802.0		2843.0		8735.0		10312.0		10035.0		6251.0		6251.0				UNSTATS / Environment Live		C: Country data
