series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	modeOfTransportation_code	modeOfTransportation_desc	year	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	reportingType_code	reportingType_desc	value_detail	lowerBound_detail	upperBound_detail
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1			MOT_ROA	Road transport	2018	3569962076.75818					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	11	Western Africa	4	202	Sub-Saharan Africa	Region								MOT_AIR	Air transport	2018	6978353268.19121					ICAO		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	11	Western Africa	4	202	Sub-Saharan Africa	Region								MOT_RAI	Rail transport	2018	337973211.09552					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	11	Western Africa	4	202	Sub-Saharan Africa	Region								MOT_ROA	Road transport	2018	378278747025.144					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1			MOT_AIR	Air transport	2018	3216532000.0					ICAO		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1			MOT_ROA	Road transport	2018	12649000000.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1			MOT_RAI	Rail transport	2018	6215000000.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1			MOT_AIR	Air transport	2018	2275334720.0					ICAO		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1			MOT_ROA	Road transport	2018	14491652949.8639					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1			MOT_RAI	Rail transport	2018	23295751793.8895					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1			MOT_AIR	Air transport	2018	7879477420.0					ICAO		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1			MOT_ROA	Road transport	2018	169902633857.249					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1			MOT_RAI	Rail transport	2018	1146737686.83541					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1			MOT_AIR	Air transport	2018	143316960.0					ICAO		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1			MOT_ROA	Road transport	2018	33017431159.7764					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1			MOT_RAI	Rail transport	2018	10414162.57672					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1			MOT_AIR	Air transport	2018	224308000000.0					ICAO		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1			MOT_ROA	Road transport	2018	882294533151.156					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1			MOT_RAI	Rail transport	2018	1598000000.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	127	Southern Asia (excluding India)	1			Group								MOT_AIR	Air transport	2018	77354091717.5334					ICAO		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	127	Southern Asia (excluding India)	1			Group								MOT_ROA	Road transport	2018	1101182792486.8					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	127	Southern Asia (excluding India)	1			Group								MOT_RAI	Rail transport	2018	229679823548.008					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	13	Central America	4	419	Latin America and the Caribbean	Region								MOT_AIR	Air transport	2018	141341792104.518					ICAO		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	13	Central America	4	419	Latin America and the Caribbean	Region								MOT_RAI	Rail transport	2018	25006342923.4761					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	13	Central America	4	419	Latin America and the Caribbean	Region								MOT_ROA	Road transport	2018	1485024994823.15					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	132	Cabo Verde	5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1			MOT_AIR	Air transport	2018	444788240.0					ICAO		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	132	Cabo Verde	5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1			MOT_ROA	Road transport	2018	2082248999.26793					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	132	Cabo Verde	5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1			MOT_RAI	Rail transport	2018	2458580.93517					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	135	Caucasus and Central Asia	1			Group								MOT_AIR	Air transport	2018	35834671418.7644					ICAO		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
