series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	educationLevel_code	educationLevel_desc	year	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	reportingType_code	reportingType_desc	value_detail	lowerBound_detail	upperBound_detail
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1			ISCED11_2	Lower secondary	2018	100.0					UIS		C	Country data	PT	Percentage	G	Global			
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1			ISCED11_1	Primary	2017	34.44397					UIS		C	Country data	PT	Percentage	G	Global			
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	132	Cabo Verde	5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1			ISCED11_1	Primary	2018	98.78049					UIS		C	Country data	PT	Percentage	G	Global			
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	132	Cabo Verde	5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1			ISCED11_2	Lower secondary	2017	100.0					UIS		C	Country data	PT	Percentage	G	Global			
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	132	Cabo Verde	5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1			ISCED11_3	Upper secondary	2017	100.0					UIS		C	Country data	PT	Percentage	G	Global			
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	136	Cayman Islands	5	29	Caribbean	Country	-81.16740559	19.32266656	CYM	0	1			ISCED11_3	Upper secondary	2018	100.0					UIS		C	Country data	PT	Percentage	G	Global			
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	136	Cayman Islands	5	29	Caribbean	Country	-81.16740559	19.32266656	CYM	0	1			ISCED11_1	Primary	2018	100.0					UIS		C	Country data	PT	Percentage	G	Global			
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	136	Cayman Islands	5	29	Caribbean	Country	-81.16740559	19.32266656	CYM	0	1			ISCED11_2	Lower secondary	2018	100.0					UIS		C	Country data	PT	Percentage	G	Global			
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	140	Central African Republic	5	17	Middle Africa	Country	20.93559492	7.003720791	CAF	1	1			ISCED11_1	Primary	2016	13.90443					UIS		C	Country data	PT	Percentage	G	Global			
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	143	Central Asia	3	142	Asia	Region								ISCED11_1	Primary	2018	94.3123549048133					UIS		E	Estimated data	PT	Percentage	G	Global			
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	143	Central Asia	3	142	Asia	Region								ISCED11_2	Lower secondary	2018	93.5129687232405					UIS		E	Estimated data	PT	Percentage	G	Global			
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	144	Sri Lanka	4	34	Southern Asia	Country	80.70489654	7.614693343	LKA	1	1			ISCED11_2	Lower secondary	2018	92.25452					UIS		C	Country data	PT	Percentage	G	Global			
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	144	Sri Lanka	4	34	Southern Asia	Country	80.70489654	7.614693343	LKA	1	1			ISCED11_3	Upper secondary	2018	86.33605					UIS		C	Country data	PT	Percentage	G	Global			
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	144	Sri Lanka	4	34	Southern Asia	Country	80.70489654	7.614693343	LKA	1	1			ISCED11_1	Primary	2018	89.71082					UIS		C	Country data	PT	Percentage	G	Global			
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	145	Western Asia	3	142	Asia	Region								ISCED11_3	Upper secondary	2018	95.5313292174662					UIS		E	Estimated data	PT	Percentage	G	Global			
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	145	Western Asia	3	142	Asia	Region								ISCED11_2	Lower secondary	2018	93.912278655808					UIS		E	Estimated data	PT	Percentage	G	Global			
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	145	Western Asia	3	142	Asia	Region								ISCED11_1	Primary	2018	88.4978387772454					UIS		E	Estimated data	PT	Percentage	G	Global			
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	15	Northern Africa	3	2	Africa	Region								ISCED11_1	Primary	2017	85.1525395107673					UIS		E	Estimated data	PT	Percentage	G	Global			
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	15	Northern Africa	3	2	Africa	Region								ISCED11_2	Lower secondary	2017	93.1016298605788					UIS		E	Estimated data	PT	Percentage	G	Global			
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	15	Northern Africa	3	2	Africa	Region								ISCED11_3	Upper secondary	2017	96.9446208328683					UIS		E	Estimated data	PT	Percentage	G	Global			
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	150	Europe	2	1	World	Region								ISCED11_2	Lower secondary	2017	99.0123676210655					UIS		E	Estimated data	PT	Percentage	G	Global			
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	150	Europe	2	1	World	Region								ISCED11_3	Upper secondary	2017	98.5824544902482					UIS		E	Estimated data	PT	Percentage	G	Global			
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	150	Europe	2	1	World	Region								ISCED11_1	Primary	2017	97.1916606734969					UIS		E	Estimated data	PT	Percentage	G	Global			
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	156	China	4	30	Eastern Asia	Country	104.1403375	32.30955217	CHN	1	1			ISCED11_1	Primary	2018	99.55931					UIS		C	Country data	PT	Percentage	G	Global			
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	156	China	4	30	Eastern Asia	Country	104.1403375	32.30955217	CHN	1	1			ISCED11_2	Lower secondary	2018	99.63387					UIS		C	Country data	PT	Percentage	G	Global			
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	156	China	4	30	Eastern Asia	Country	104.1403375	32.30955217	CHN	1	1			ISCED11_3	Upper secondary	2018	99.67803					UIS		C	Country data	PT	Percentage	G	Global			
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	180	Democratic Republic of the Congo	5	17	Middle Africa	Country	23.65496507	-2.877154732	COD	1	1			ISCED11_2	Lower secondary	2015	0.0					UIS		C	Country data	PT	Percentage	G	Global			
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	180	Democratic Republic of the Congo	5	17	Middle Africa	Country	23.65496507	-2.877154732	COD	1	1			ISCED11_3	Upper secondary	2015	0.0					UIS		C	Country data	PT	Percentage	G	Global			
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	180	Democratic Republic of the Congo	5	17	Middle Africa	Country	23.65496507	-2.877154732	COD	1	1			ISCED11_1	Primary	2015	0.0					UIS		C	Country data	PT	Percentage	G	Global			
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	184	Cook Islands	4	61	Polynesia	Country	-159.7711391	-21.22696458	COK	0	1			ISCED11_2	Lower secondary	2016	100.0					UIS		C	Country data	PT	Percentage	G	Global			
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	184	Cook Islands	4	61	Polynesia	Country	-159.7711391	-21.22696458	COK	0	1			ISCED11_3	Upper secondary	2016	100.0					UIS		C	Country data	PT	Percentage	G	Global			
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	184	Cook Islands	4	61	Polynesia	Country	-159.7711391	-21.22696458	COK	0	1			ISCED11_1	Primary	2016	100.0					UIS		C	Country data	PT	Percentage	G	Global			
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	188	Costa Rica	5	13	Central America	Country	-84.19712782	9.970998683	CRI	1	1			ISCED11_2	Lower secondary	2018	77.11864					UIS		C	Country data	PT	Percentage	G	Global			
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	188	Costa Rica	5	13	Central America	Country	-84.19712782	9.970998683	CRI	1	1			ISCED11_3	Upper secondary	2018	76.88966					UIS		C	Country data	PT	Percentage	G	Global			
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	188	Costa Rica	5	13	Central America	Country	-84.19712782	9.970998683	CRI	1	1			ISCED11_1	Primary	2018	82.87491					UIS		C	Country data	PT	Percentage	G	Global			
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	192	Cuba	5	29	Caribbean	Country	-79.54460144	22.10030366	CUB	1	1			ISCED11_1	Primary	2018	100.0					UIS		C	Country data	PT	Percentage	G	Global			
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	192	Cuba	5	29	Caribbean	Country	-79.54460144	22.10030366	CUB	1	1			ISCED11_2	Lower secondary	2018	100.0					UIS		C	Country data	PT	Percentage	G	Global			
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	192	Cuba	5	29	Caribbean	Country	-79.54460144	22.10030366	CUB	1	1			ISCED11_3	Upper secondary	2018	100.0					UIS		C	Country data	PT	Percentage	G	Global			
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	199	Least Developed Countries (LDC)	1			Group								ISCED11_1	Primary	2017	56.7693599804209					UIS		E	Estimated data	PT	Percentage	G	Global			
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	199	Least Developed Countries (LDC)	1			Group								ISCED11_2	Lower secondary	2017	69.7409691400122					UIS		E	Estimated data	PT	Percentage	G	Global			
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	199	Least Developed Countries (LDC)	1			Group								ISCED11_3	Upper secondary	2018	65.336923136117					UIS		E	Estimated data	PT	Percentage	G	Global			
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	20	Andorra	4	39	Southern Europe	Country	1.576257417	42.54548611	AND	1	1			ISCED11_2	Lower secondary	2018	100.0					UIS		C	Country data	PT	Percentage	G	Global			
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	20	Andorra	4	39	Southern Europe	Country	1.576257417	42.54548611	AND	1	1			ISCED11_3	Upper secondary	2018	100.0					UIS		C	Country data	PT	Percentage	G	Global			
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	20	Andorra	4	39	Southern Europe	Country	1.576257417	42.54548611	AND	1	1			ISCED11_1	Primary	2018	100.0					UIS		C	Country data	PT	Percentage	G	Global			
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	202	Sub-Saharan Africa	3	2	Africa	Region								ISCED11_3	Upper secondary	2016	55.0595885053747					UIS		E	Estimated data	PT	Percentage	G	Global			
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	202	Sub-Saharan Africa	3	2	Africa	Region								ISCED11_1	Primary	2017	43.9666159279146					UIS		E	Estimated data	PT	Percentage	G	Global			
SE_ACC_DWAT	Schools with access to basic drinking water, by education level (%)	202	Sub-Saharan Africa	3	2	Africa	Region								ISCED11_2	Lower secondary	2016	53.6186005906286					UIS		E	Estimated data	PT	Percentage	G	Global			
