series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	year	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	reportingType_code	reportingType_desc	value_detail	lowerBound_detail	upperBound_detail
AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	1	World	1			Region								2020	58.15					FAO, Global Forest Resources Assessment	Aggregate. Only countries with data for all years included	_X	Data nature not available	PT	Percentage	G	Global			
AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1			2020	97.39					FAO, Global Forest Resources Assessment	Country data submitted to FAO	C	Country data	PT	Percentage	G	Global			
AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1			2020	93.02					FAO, Global Forest Resources Assessment	Country data submitted to FAO	C	Country data	PT	Percentage	G	Global			
AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	11	Western Africa	4	202	Sub-Saharan Africa	Region								2020	23.18					FAO, Global Forest Resources Assessment	Aggregate. Only countries with data for all years included	_X	Data nature not available	PT	Percentage	G	Global			
AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1			2020	100.0					FAO, Global Forest Resources Assessment	NA = No data available	C	Country data	PT	Percentage	G	Global			
AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1			2020	13.5					FAO, Global Forest Resources Assessment	Country data submitted to FAO	C	Country data	PT	Percentage	G	Global			
AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1			2020	59.93					FAO, Global Forest Resources Assessment	Country data submitted to FAO	C	Country data	PT	Percentage	G	Global			
AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1			2020	60.82					FAO, Global Forest Resources Assessment	Country data submitted to FAO	C	Country data	PT	Percentage	G	Global			
AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	13	Central America	4	419	Latin America and the Caribbean	Region								2020	0.3					FAO, Global Forest Resources Assessment	Aggregate. Only countries with data for all years included	_X	Data nature not available	PT	Percentage	G	Global			
AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	135	Caucasus and Central Asia	1			Group								2020	98.27					FAO, Global Forest Resources Assessment	Aggregate. Only countries with data for all years included	_X	Data nature not available	PT	Percentage	G	Global			
AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	136	Cayman Islands	5	29	Caribbean	Country	-81.16740559	19.32266656	CYM	0	1			2020	100.0					FAO, Global Forest Resources Assessment	FAO Estimate	E	Estimated data	PT	Percentage	G	Global			
AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	14	Eastern Africa	4	202	Sub-Saharan Africa	Region								2020	37.37					FAO, Global Forest Resources Assessment	Aggregate. Only countries with data for all years included	_X	Data nature not available	PT	Percentage	G	Global			
AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	140	Central African Republic	5	17	Middle Africa	Country	20.93559492	7.003720791	CAF	1	1			2020	16.83					FAO, Global Forest Resources Assessment	Country data submitted to FAO	C	Country data	PT	Percentage	G	Global			
AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	142	Asia	2	1	World	Region								2020	64.87					FAO, Global Forest Resources Assessment	Aggregate. Only countries with data for all years included	_X	Data nature not available	PT	Percentage	G	Global			
AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	143	Central Asia	3	142	Asia	Region								2020	98.27					FAO, Global Forest Resources Assessment	Aggregate. Only countries with data for all years included	_X	Data nature not available	PT	Percentage	G	Global			
AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	145	Western Asia	3	142	Asia	Region								2020	98.7					FAO, Global Forest Resources Assessment	Aggregate. Only countries with data for all years included	_X	Data nature not available	PT	Percentage	G	Global			
AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	148	Chad	5	17	Middle Africa	Country	18.66618401	15.36279341	TCD	1	1			2010	11.25					FAO, Global Forest Resources Assessment	Country data submitted to FAO	C	Country data	PT	Percentage	G	Global			
AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	15	Northern Africa	3	2	Africa	Region								2020	34.93					FAO, Global Forest Resources Assessment	Aggregate. Only countries with data for all years included	_X	Data nature not available	PT	Percentage	G	Global			
AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	150	Europe	2	1	World	Region								2020	96.65					FAO, Global Forest Resources Assessment	Aggregate. Only countries with data for all years included	_X	Data nature not available	PT	Percentage	G	Global			
AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	151	Eastern Europe	3	150	Europe	Region								2020	99.76					FAO, Global Forest Resources Assessment	Aggregate. Only countries with data for all years included	_X	Data nature not available	PT	Percentage	G	Global			
AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	152	Chile	5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1			2020	0.09					FAO, Global Forest Resources Assessment	Country data submitted to FAO	C	Country data	PT	Percentage	G	Global			
