series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	samplingStations_code	samplingStations_desc	year	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	reportingType_code	reportingType_desc	value_detail	lowerBound_detail	upperBound_detail
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1			C02	QU39	2019	7.9131		8.23	7.61		Intergovernmental Oceanographic Commission (IOC) of UNESCO	Mooring Name: QU39 | LATITUDE: 50.03097037 | LONGITUDE: -125.1001985	C	Country data	PH	pH	G	Global			
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1			C01	KC10	2019	8.06445		8.3559	7.831		Intergovernmental Oceanographic Commission (IOC) of UNESCO	Mooring Name: KC10 | LATITUDE: 51.65047946 | LONGITUDE: -127.9512468	C	Country data	PH	pH	G	Global			
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	250	France	4	155	Western Europe	Country	2.457288129	46.62660861	FRA	1	1			C09	OVIDE-2010	2010	8.11953		8.193	8.087		Intergovernmental Oceanographic Commission (IOC) of UNESCO	Mooring Name: OVIDE-2010 | LATITUDE: 59.818 | LONGITUDE: -42.313	C	Country data	PH	pH	G	Global			
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	250	France	4	155	Western Europe	Country	2.457288129	46.62660861	FRA	1	1			C01	OISO-18	2010	8.07836		8.162	8.019		Intergovernmental Oceanographic Commission (IOC) of UNESCO	Mooring Name: OISO-18 | LATITUDE: -29.46254 | LONGITUDE: 62.89292	C	Country data	PH	pH	G	Global			
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	250	France	4	155	Western Europe	Country	2.457288129	46.62660861	FRA	1	1			C02	OISO-19	2011	8.07389		8.148	8.007		Intergovernmental Oceanographic Commission (IOC) of UNESCO	Mooring Name: OISO-19 | LATITUDE: -25.99984 | LONGITUDE: 57.49987	C	Country data	PH	pH	G	Global			
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	250	France	4	155	Western Europe	Country	2.457288129	46.62660861	FRA	1	1			C03	OISO-21	2012	8.07947		8.165	8.029		Intergovernmental Oceanographic Commission (IOC) of UNESCO	Mooring Name: OISO-21 | LATITUDE: -29.947392 | LONGITUDE: 66.553348	C	Country data	PH	pH	G	Global			
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	250	France	4	155	Western Europe	Country	2.457288129	46.62660861	FRA	1	1			C10	OVIDE-2012	2012	8.08541		8.211	8.023		Intergovernmental Oceanographic Commission (IOC) of UNESCO	Mooring Name: OVIDE-2012 | LATITUDE: 59.8306 | LONGITUDE: -42.5196	C	Country data	PH	pH	G	Global			
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	250	France	4	155	Western Europe	Country	2.457288129	46.62660861	FRA	1	1			C04	OISO-22	2013	8.0732		8.133	8.018		Intergovernmental Oceanographic Commission (IOC) of UNESCO	Mooring Name: OISO-22 | LATITUDE: -26.08294 | LONGITUDE: 58.09203	C	Country data	PH	pH	G	Global			
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	250	France	4	155	Western Europe	Country	2.457288129	46.62660861	FRA	1	1			C11	OVIDE-2014	2014	8.13682		8.368	8.077		Intergovernmental Oceanographic Commission (IOC) of UNESCO	Mooring Name: OVIDE-2014 | LATITUDE: 52.5004599999999 | LONGITUDE: -52.5001	C	Country data	PH	pH	G	Global			
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	250	France	4	155	Western Europe	Country	2.457288129	46.62660861	FRA	1	1			C05	OISO-24	2015	8.0679		8.172	7.922		Intergovernmental Oceanographic Commission (IOC) of UNESCO	Mooring Name: OISO-24 | LATITUDE: -28.7757 | LONGITUDE: 63.7984	C	Country data	PH	pH	G	Global			
