series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	observationStatus_code	observationStatus_desc	age_code	age_desc	year	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	reportingType_code	reportingType_desc	value_detail	lowerBound_detail	upperBound_detail
FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	1	World	1			Region								A	Normal value	Y_GE15	15 years old and over	2018	69.049709					IMF		_X	Data nature not available	NUMBER	Number	G	Global			
FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1			A	Normal value	Y_GE15	15 years old and over	2018	93.1155347750516					IMF		_X	Data nature not available	NUMBER	Number	G	Global			
FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1			A	Normal value	Y_GE15	15 years old and over	2018	5.6340980061969					IMF		_X	Data nature not available	NUMBER	Number	G	Global			
FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1			A	Normal value	Y_GE15	15 years old and over	2016	1.41869212699431					IMF		_X	Data nature not available	NUMBER	Number	G	Global			
FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1			A	Normal value	Y_GE15	15 years old and over	2018	53.8831229537031					IMF		_X	Data nature not available	NUMBER	Number	G	Global			
FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1			A	Normal value	Y_GE15	15 years old and over	2018	19.4460801076529					IMF		_X	Data nature not available	NUMBER	Number	G	Global			
FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1			A	Normal value	Y_GE15	15 years old and over	2018	9.20428966682709					IMF		_X	Data nature not available	NUMBER	Number	G	Global			
FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1			A	Normal value	Y_GE15	15 years old and over	2018	4.81122940944164					IMF		_X	Data nature not available	NUMBER	Number	G	Global			
FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1			A	Normal value	Y_GE15	15 years old and over	2018	220.001441423041					IMF		_X	Data nature not available	NUMBER	Number	G	Global			
FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	132	Cabo Verde	5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1			A	Normal value	Y_GE15	15 years old and over	2018	49.3179406273965					IMF		_X	Data nature not available	NUMBER	Number	G	Global			
FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	140	Central African Republic	5	17	Middle Africa	Country	20.93559492	7.003720791	CAF	1	1			A	Normal value	Y_GE15	15 years old and over	2017	1.37574560498413					IMF		_X	Data nature not available	NUMBER	Number	G	Global			
FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	144	Sri Lanka	4	34	Southern Asia	Country	80.70489654	7.614693343	LKA	1	1			A	Normal value	Y_GE15	15 years old and over	2015	17.204248726781					IMF		_X	Data nature not available	NUMBER	Number	G	Global			
FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	148	Chad	5	17	Middle Africa	Country	18.66618401	15.36279341	TCD	1	1			A	Normal value	Y_GE15	15 years old and over	2017	1.53189047818658					IMF		_X	Data nature not available	NUMBER	Number	G	Global			
FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	152	Chile	5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1			A	Normal value	Y_GE15	15 years old and over	2018	49.6892095636425					IMF		_X	Data nature not available	NUMBER	Number	G	Global			
FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	156	China	4	30	Eastern Asia	Country	104.1403375	32.30955217	CHN	1	1			A	Normal value	Y_GE15	15 years old and over	2018	97.1189881243622					IMF		_X	Data nature not available	NUMBER	Number	G	Global			
FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	170	Colombia	5	5	South America	Country	-73.07446751	3.888209046	COL	1	1			A	Normal value	Y_GE15	15 years old and over	2018	42.3478808895741					IMF		_X	Data nature not available	NUMBER	Number	G	Global			
FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	174	Comoros	5	14	Eastern Africa	Country	43.34234565	-11.66121732	COM	1	1			A	Normal value	Y_GE15	15 years old and over	2018	4.96785795900524					IMF		_X	Data nature not available	NUMBER	Number	G	Global			
FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	180	Democratic Republic of the Congo	5	17	Middle Africa	Country	23.65496507	-2.877154732	COD	1	1			A	Normal value	Y_GE15	15 years old and over	2015	1.31264628856228					IMF		_X	Data nature not available	NUMBER	Number	G	Global			
FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	188	Costa Rica	5	13	Central America	Country	-84.19712782	9.970998683	CRI	1	1			A	Normal value	Y_GE15	15 years old and over	2018	74.3391783486889					IMF		_X	Data nature not available	NUMBER	Number	G	Global			
FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	191	Croatia	4	39	Southern Europe	Country	17.95874553	45.45172212	HRV	1	1			A	Normal value	Y_GE15	15 years old and over	2018	147.256152764242					IMF		_X	Data nature not available	NUMBER	Number	G	Global			
FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	196	Cyprus	4	145	Western Asia	Country	33.22285964	35.05659437	CYP	1	1			A	Normal value	Y_GE15	15 years old and over	2018	42.1376841250064					IMF		_X	Data nature not available	NUMBER	Number	G	Global			
FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	199	Least Developed Countries (LDC)	1			Group								A	Normal value	Y_GE15	15 years old and over	2018	6.3685894					IMF		_X	Data nature not available	NUMBER	Number	G	Global			
FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	202	Sub-Saharan Africa	3	2	Africa	Region								A	Normal value	Y_GE15	15 years old and over	2018	12.409331					IMF		_X	Data nature not available	NUMBER	Number	G	Global			
FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	203	Czechia	4	151	Eastern Europe	Country	15.33151382	49.73913871	CZE	1	1			A	Normal value	Y_GE15	15 years old and over	2018	57.1268664620475					IMF		_X	Data nature not available	NUMBER	Number	G	Global			
FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	204	Benin	5	11	Western Africa	Country	2.339933594	9.65401646	BEN	1	1			A	Normal value	Y_GE15	15 years old and over	2018	4.73531338016503					IMF		_X	Data nature not available	NUMBER	Number	G	Global			
FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	208	Denmark	4	154	Northern Europe	Country	9.326571283	56.03829721	DNK	1	1			A	Normal value	Y_GE15	15 years old and over	2018	47.9013529448079					IMF		_X	Data nature not available	NUMBER	Number	G	Global			
FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	212	Dominica	5	29	Caribbean	Country	-61.3493756	15.43391378	DMA	1	1			A	Normal value	Y_GE15	15 years old and over	2018	36.191296854804					IMF		_X	Data nature not available	NUMBER	Number	G	Global			
FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	214	Dominican Republic	5	29	Caribbean	Country	-70.49847576	18.89832088	DOM	1	1			A	Normal value	Y_GE15	15 years old and over	2018	36.8827287313844					IMF		_X	Data nature not available	NUMBER	Number	G	Global			
FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	218	Ecuador	5	5	South America	Country	-78.37005241	-1.447785891	ECU	1	1			A	Normal value	Y_GE15	15 years old and over	2018	34.5319706190348					IMF		_X	Data nature not available	NUMBER	Number	G	Global			
FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	222	El Salvador	5	13	Central America	Country	-88.86862995	13.73603564	SLV	1	1			A	Normal value	Y_GE15	15 years old and over	2018	38.1519250264445					IMF		_X	Data nature not available	NUMBER	Number	G	Global			
FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	226	Equatorial Guinea	5	17	Middle Africa	Country	10.46535826	1.565792376	GNQ	1	1			A	Normal value	Y_GE15	15 years old and over	2018	10.4479624650874					IMF		_X	Data nature not available	NUMBER	Number	G	Global			
FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	231	Ethiopia	5	14	Eastern Africa	Country	39.63505296	8.631223181	ETH	1	1			A	Normal value	Y_GE15	15 years old and over	2012	0.462957146650263					IMF		_X	Data nature not available	NUMBER	Number	G	Global			
FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	233	Estonia	4	154	Northern Europe	Country	25.84093481	58.68487172	EST	1	1			A	Normal value	Y_GE15	15 years old and over	2018	67.9745045826221					IMF		_X	Data nature not available	NUMBER	Number	G	Global			
FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	24	Angola	5	17	Middle Africa	Country	17.57817062	-12.33724746	AGO	1	1			A	Normal value	Y_GE15	15 years old and over	2018	18.9223314264961					IMF		_X	Data nature not available	NUMBER	Number	G	Global			
FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	242	Fiji	4	54	Melanesia	Country	177.9660884	-17.83301566	FJI	1	1			A	Normal value	Y_GE15	15 years old and over	2018	54.2759143404031					IMF		_X	Data nature not available	NUMBER	Number	G	Global			
FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	246	Finland	4	154	Northern Europe	Country	23.308447	61.91586738	FIN	1	1			A	Normal value	Y_GE15	15 years old and over	2018	34.7081822054219					IMF		_X	Data nature not available	NUMBER	Number	G	Global			
FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	250	France	4	155	Western Europe	Country	2.457288129	46.62660861	FRA	1	1			A	Normal value	Y_GE15	15 years old and over	2018	98.2555938410701					IMF		_X	Data nature not available	NUMBER	Number	G	Global			
FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	262	Djibouti	5	14	Eastern Africa	Country	42.18274707	11.56004161	DJI	1	1			A	Normal value	Y_GE15	15 years old and over	2017	12.1021786947195					IMF		_X	Data nature not available	NUMBER	Number	G	Global			
FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	266	Gabon	5	17	Middle Africa	Country	11.78727747	-0.60687619	GAB	1	1			A	Normal value	Y_GE15	15 years old and over	2013	12.8481813746512					IMF		_X	Data nature not available	NUMBER	Number	G	Global			
FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	268	Georgia	4	145	Western Asia	Country	43.3713615	42.04813028	GEO	1	1			A	Normal value	Y_GE15	15 years old and over	2018	77.5287056716258					IMF		_X	Data nature not available	NUMBER	Number	G	Global			
FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	276	Germany	4	155	Western Europe	Country	10.3806066	51.08862743	DEU	1	1			A	Normal value	Y_GE15	15 years old and over	2017	118.730932271327					IMF		_X	Data nature not available	NUMBER	Number	G	Global			
FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	28	Antigua and Barbuda	5	29	Caribbean	Country	-61.7999755	17.07761471	ATG	1	1			A	Normal value	Y_GE15	15 years old and over	2018	66.6444518493835					IMF		_X	Data nature not available	NUMBER	Number	G	Global			
FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	288	Ghana	5	11	Western Africa	Country	-1.205623522	7.964825185	GHA	1	1			A	Normal value	Y_GE15	15 years old and over	2018	11.5149521033979					IMF		_X	Data nature not available	NUMBER	Number	G	Global			
FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	296	Kiribati	4	57	Micronesia	Country	-157.5643005	1.768837732	KIR	1	1			A	Normal value	Y_GE15	15 years old and over	2013	14.3472022955524					IMF		_X	Data nature not available	NUMBER	Number	G	Global			
FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	300	Greece	4	39	Southern Europe	Country	22.58307827	39.47301873	GRC	1	1			A	Normal value	Y_GE15	15 years old and over	2018	62.3118386418449					IMF		_X	Data nature not available	NUMBER	Number	G	Global			
FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	308	Grenada	5	29	Caribbean	Country	-61.68248568	12.11238395	GRD	1	1			A	Normal value	Y_GE15	15 years old and over	2018	43.4302885179708					IMF		_X	Data nature not available	NUMBER	Number	G	Global			
FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	31	Azerbaijan	4	145	Western Asia	Country	50.01064725	40.39229544	AZE	1	1			A	Normal value	Y_GE15	15 years old and over	2018	32.8395888462476					IMF		_X	Data nature not available	NUMBER	Number	G	Global			
FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	32	Argentina	5	5	South America	Country	-65.14563274	-35.19446255	ARG	1	1			A	Normal value	Y_GE15	15 years old and over	2018	58.983342955789					IMF		_X	Data nature not available	NUMBER	Number	G	Global			
FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	320	Guatemala	5	13	Central America	Country	-91.2312746	15.00273719	GTM	1	1			A	Normal value	Y_GE15	15 years old and over	2018	34.9119278529271					IMF		_X	Data nature not available	NUMBER	Number	G	Global			
FB_ATM_TOTL	Number of automated teller machines (ATMs) per 100,000 adults	324	Guinea	5	11	Western Africa	Country	-11.28173419	11.00210343	GIN	1	1			A	Normal value	Y_GE15	15 years old and over	2018	2.49619187280095					IMF		_X	Data nature not available	NUMBER	Number	G	Global			
