series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	levelStatus_code	levelStatus_desc	year	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	reportingType_code	reportingType_desc	value_detail	lowerBound_detail	upperBound_detail
ER_BDY_ABT2NP	Countries that established national targets in accordance with Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011-2020 in their National Biodiversity Strategy and Action Plans (1 = YES; 0 = NO)	1	World	1			Region								ABT2_NONTLT	No national target reflecting ABT 2	2020	16.0					Environment Live / CHM		C	Country data	NUMBER	Number	G	Global			
ER_BDY_ABT2NP	Countries that established national targets in accordance with Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011-2020 in their National Biodiversity Strategy and Action Plans (1 = YES; 0 = NO)	1	World	1			Region								ABT2_NOPROG	National target reflecting ABT2  exists, but no progress	2020	6.0					Environment Live / CHM		C	Country data	NUMBER	Number	G	Global			
ER_BDY_ABT2NP	Countries that established national targets in accordance with Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011-2020 in their National Biodiversity Strategy and Action Plans (1 = YES; 0 = NO)	1	World	1			Region								ABT2_DIGRESS	National target reflecting ABT2 exists, but moving away from it	2020	2.0					Environment Live / CHM		C	Country data	NUMBER	Number	G	Global			
ER_BDY_ABT2NP	Countries that established national targets in accordance with Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011-2020 in their National Biodiversity Strategy and Action Plans (1 = YES; 0 = NO)	1	World	1			Region								ABT2_INSUFNT	National target reflecting ABT2  exists and progress is there, but at as insufficient rate	2020	64.0					Environment Live / CHM		C	Country data	NUMBER	Number	G	Global			
ER_BDY_ABT2NP	Countries that established national targets in accordance with Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011-2020 in their National Biodiversity Strategy and Action Plans (1 = YES; 0 = NO)	1	World	1			Region								ABT2_EXCEED	National target reflecting ABT2  exists and progress is on track to exceed it	2020	2.0					Environment Live / CHM		C	Country data	NUMBER	Number	G	Global			
ER_BDY_ABT2NP	Countries that established national targets in accordance with Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011-2020 in their National Biodiversity Strategy and Action Plans (1 = YES; 0 = NO)	1	World	1			Region								ABT2_ACHIEVE	National target reflecting ABT2 exists and progress is on track to achieve it	2020	39.0					Environment Live / CHM		C	Country data	NUMBER	Number	G	Global			
ER_BDY_ABT2NP	Countries that established national targets in accordance with Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011-2020 in their National Biodiversity Strategy and Action Plans (1 = YES; 0 = NO)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1			ABT2_INSUFNT	National target reflecting ABT2  exists and progress is there, but at as insufficient rate	2020	1.0					Environment Live / CHM		C	Country data	NUMBER	Number	G	Global			
ER_BDY_ABT2NP	Countries that established national targets in accordance with Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011-2020 in their National Biodiversity Strategy and Action Plans (1 = YES; 0 = NO)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1			ABT2_INSUFNT	National target reflecting ABT2  exists and progress is there, but at as insufficient rate	2020	1.0					Environment Live / CHM		C	Country data	NUMBER	Number	G	Global			
ER_BDY_ABT2NP	Countries that established national targets in accordance with Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011-2020 in their National Biodiversity Strategy and Action Plans (1 = YES; 0 = NO)	11	Western Africa	4	202	Sub-Saharan Africa	Region								ABT2_ACHIEVE	National target reflecting ABT2 exists and progress is on track to achieve it	2020	4.0					Environment Live / CHM		C	Country data	NUMBER	Number	G	Global			
ER_BDY_ABT2NP	Countries that established national targets in accordance with Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011-2020 in their National Biodiversity Strategy and Action Plans (1 = YES; 0 = NO)	11	Western Africa	4	202	Sub-Saharan Africa	Region								ABT2_NONTLT	No national target reflecting ABT 2	2020	1.0					Environment Live / CHM		C	Country data	NUMBER	Number	G	Global			
ER_BDY_ABT2NP	Countries that established national targets in accordance with Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011-2020 in their National Biodiversity Strategy and Action Plans (1 = YES; 0 = NO)	11	Western Africa	4	202	Sub-Saharan Africa	Region								ABT2_INSUFNT	National target reflecting ABT2  exists and progress is there, but at as insufficient rate	2020	8.0					Environment Live / CHM		C	Country data	NUMBER	Number	G	Global			
